[1,1] -1
[2,2] 115
[3,3] -3611
[4,4] 7705
[5,5] 556324
[6,6] 2270744
[7,1] 46
[7,7] -10558564
[8,2] 22908
[8,8] -101524277
[9,3] 866962
[9,9] -299840075
[10,4] 8921516
[10,10] -391163139
[11,5] 40089368
[11,11] -155760761
[12,6] 92174064
[12,12] 53533742
[13,1] -483
[13,7] 109515190
[13,13] -155760761
[14,2] 62284
[14,8] 56676324
[14,14] -391163139
[15,3] 217879
[15,9] 15010260
[15,15] -299840075
[16,4] -31142
[16,10] 56676324
[16,16] -101524277
[17,5] -1159844
[17,11] 109515190
[17,17] -10558564
[18,6] -1942672
[18,12] 92174064
[18,18] 2270744
[19,1] 552
[19,7] -1159844
[19,13] 40089368
[19,19] 556324
[20,2] 1380
[20,8] -31142
[20,14] 8921516
[20,20] 7705
[21,3] 1472
[21,9] 217879
[21,15] 866962
[21,21] -3611
[22,4] 1380
[22,10] 62284
[22,16] 22908
[22,22] 115
[23,5] 552
[23,11] -483
[23,17] 46
[23,23] -1
[24,0] 1
