[32,0] 1
[31,0] -14353
[31,1] -37479
[31,2] 536269
[31,3] 1399619
[31,4] -3466513
[31,5] -12942779
[31,6] 3268733
[31,7] 49995591
[31,8] 33689870
[31,9] -88506612
[31,10] -128620023
[31,11] 50996085
[31,12] 197694781
[31,13] 53947037
[31,14] -150776250
[31,15] -102956952
[31,16] 58027753
[31,17] 69690263
[31,18] -10930321
[31,19] -27033147
[31,20] 1303612
[31,21] 6868298
[31,22] -492745
[31,23] -1134693
[31,24] 192417
[31,25] 99665
[31,26] -33170
[31,27] -868
[31,28] 1922
[31,29] -372
[31,30] 31
[31,31] -1
[30,0] 52015427
[30,1] 182058319
[30,2] -109858947
[30,3] -1776248323
[30,4] -1606459804
[30,5] 10842860545
[30,6] 19032839484
[30,7] -37931724279
[30,8] -118663253621
[30,9] -4649102922
[30,10] 350700717501
[30,11] 484665582561
[30,12] -193028941860
[30,13] -1330360985903
[30,14] -1321085059480
[30,15] 675516823866
[30,16] 2736642173707
[30,17] 2184555807673
[30,18] -657443373157
[30,19] -2764703599573
[30,20] -2291972242136
[30,21] -362080640646
[30,22] 995299963578
[30,23] 1126676236227
[30,24] 655123123721
[30,25] 242684786531
[30,26] 58954965449
[30,27] 9028582414
[30,28] 786401862
[30,29] 30769608
[30,30] 305660
[29,0] 803925480
[29,1] -48987295044
[29,2] -100139025030
[29,3] 643242552436
[29,4] 2177900889772
[29,5] -671955401080
[29,6] -12702216885366
[29,7] -15944790613734
[29,8] 23521877884881
[29,9] 75229096449715
[29,10] 26043326975304
[29,11] -124397530031958
[29,12] -158973676375342
[29,13] 31064318509158
[29,14] 200451089867308
[29,15] 128049936570084
[29,16] -39228814272669
[29,17] -92853074410071
[29,18] -63600772874274
[29,19] -42033873124968
[29,20] -18136186697174
[29,21] 20600014742662
[29,22] 39682969014336
[29,23] 27516402333940
[29,24] 9045289470889
[29,25] 726530846303
[29,26] -420173269764
[29,27] -131768732618
[29,28] -15824127382
[29,29] -834483358
[28,0] -744759838706
[28,1] -1689852953662
[28,2] 34006007755069
[28,3] 76934700481770
[28,4] -190774555896681
[28,5] -675463762309342
[28,6] 129609969705018
[28,7] 2528541219571964
[28,8] 2001753962837685
[28,9] -4299967682322995
[28,10] -7658035485302793
[28,11] 1113201208347672
[28,12] 11785914711630749
[28,13] 7394755148089984
[28,14] -6695548475518092
[28,15] -10910888095776172
[28,16] -2171083220412388
[28,17] 5422034406214013
[28,18] 3934195723736873
[28,19] -809547123036746
[28,20] -1908375675603747
[28,21] -156251276246590
[28,22] 803767137667482
[28,23] 437989533570858
[28,24] 24405844809733
[28,25] -41487130455389
[28,26] -10564393387787
[28,27] -32605439098
[28,28] 153922655977
[27,0] -10805499306188
[27,1] 372430983162584
[27,2] 1081455525070643
[27,3] -3481612850023409
[27,4] -10802431590012266
[27,5] 9414711295699400
[27,6] 51901939079635108
[27,7] 15340928837091006
[27,8] -123133185407602334
[27,9] -140469168786837296
[27,10] 103642227953304147
[27,11] 305566627648494565
[27,12] 114718790443049859
[27,13] -266146210160064321
[27,14] -323163094415936115
[27,15] 9093106249829527
[27,16] 260925150381787501
[27,17] 148480991305115293
[27,18] -71417680096537501
[27,19] -106376812614939993
[27,20] -18632969652403269
[27,21] 27286116196969299
[27,22] 16311284679828040
[27,23] 1125717076992368
[27,24] -1800594534633383
[27,25] -536906506664813
[27,26] 28631561653248
[27,27] 24585483313714
[26,0] 2658507324463712
[26,1] 7230561429227598
[26,2] -25160958244655754
[26,3] -74545936867593689
[26,4] 131810927313045155
[26,5] 461876401314591104
[26,6] -99162397744155527
[26,7] -1493421566435016688
[26,8] -1198642125208260635
[26,9] 1981639612483602566
[26,10] 4080235343632473471
[26,11] 588889851816233723
[26,12] -5127298815940748367
[26,13] -4713267147967453321
[26,14] 1819514661633101959
[26,15] 5234052668790688501
[26,16] 1911456733419674379
[26,17] -2017852804263701935
[26,18] -2055755608862944535
[26,19] -240075486450654773
[26,20] 592356848078324702
[26,21] 344607073446838027
[26,22] 12978944653794842
[26,23] -50046841288639648
[26,24] -13707765047016972
[26,25] 1530296205000049
[26,26] 905019971743032
[25,0] 41556457399818813
[25,1] -27369335802570179
[25,2] -178153660195967705
[25,3] 826205813920655121
[25,4] 1753442086316813026
[25,5] -3050019628942562286
[25,6] -11052508228994478582
[25,7] -3937326363398711726
[25,8] 25101286128427793004
[25,9] 36573360762200879302
[25,10] -10585703953322596260
[25,11] -65955594597131267226
[25,12] -40863068518189074602
[25,13] 37864052886291010224
[25,14] 62883665663824216608
[25,15] 15208361408311878484
[25,16] -29541412656136606284
[25,17] -26350866626639945560
[25,18] -1574678226057784685
[25,19] 9148736831757037547
[25,20] 4810989927871174920
[25,21] -84880663769259406
[25,22] -832696441136082986
[25,23] -222853677053404610
[25,24] 29190629239042330
[25,25] 21708660179347472
[24,0] 290973571811738391
[24,1] 936458432637614223
[24,2] 4314051830641171012
[24,3] 1276473680352675773
[24,4] -27995536158667665948
[24,5] -59811815723040929402
[24,6] 14829786651894040317
[24,7] 215719557653943747428
[24,8] 220907970654774854246
[24,9] -204776812366027958300
[24,10] -558408680771938100491
[24,11] -232559728237465045968
[24,12] 422857503600853745173
[24,13] 564989658887596653864
