[1,1] -1
[7,7] 146549206
[8,6] 113068990
[9,5] 50842280
[10,4] 12378852
[11,3] 1376892
[12,2] 45079
[13,1] 61
[13,13] 521495386639
[14,12] 469549874364
[15,11] 340873792133
[16,10] 195595746284
[17,9] 84532960762
[18,8] 24014988862
[19,7] 1749893580
[19,19] 456406365467928
[20,6] -2222003812
[20,18] 437708153935967
[21,5] -1260511198
[21,17] 385693203398414
[22,4] -335568564
[22,16] 311347503420686
[23,3] -39817689
[23,15] 229189282045000
[24,2] 1406538
[24,14] 152932518345541
[25,1] -1098
[25,13] 91852003401892
[25,25] 29182164830633280
[26,12] 49253141372246
[26,24] 28091330212237968
[27,11] 23361095637645
[27,23] 25015536074489622
[28,10] 9694829203568
[28,22] 20509581255767248
[29,9] 3474219993076
[29,21] 15368658982483806
[30,8] 1057409950655
[30,20] 10426853796917870
[31,7] 267440458532
[31,19] 6330071955688164
[31,31] 762265216997415080
[32,6] 54531763374
[32,18] 3385717386204592
[32,30] 740535677338301731
[33,5] 8575195658
[33,17] 1558232934533426
[33,29] 678739458055578338
[34,4] 967450850
[34,16] 590538479264548
[34,28] 586296263885811646
[35,3] 68656415
[35,15] 164622225818254
[35,27] 476541970646249444
[36,2] 2144821
[36,14] 18067352421226
[36,26] 363773117751972351
[37,1] 5612
[37,13] -13956359528882
[37,25] 260268852393098476
[37,37] 29182164830633280
[38,12] -12070931153592
[38,24] 174174699631440127
[38,36] 28091330212237968
[39,11] -5869334140609
[39,23] 108802638340088388
[39,35] 25015536074489622
[40,10] -2137273855520
[40,22] 63315295560211134
[40,34] 20509581255767248
[41,9] -620888650060
[41,21] 34252743118138558
[41,33] 15368658982483806
[42,8] -146271550592
[42,20] 17189061554940019
[42,32] 10426853796917870
[43,7] -27884944640
[43,19] 7982789795991016
[43,31] 6330071955688164
[43,43] 456406365467928
[44,6] -4244900696
[44,18] 3422011588389191
[44,30] 3385717386204592
[44,42] 437708153935967
[45,5] -504555888
[45,17] 1350211424348022
[45,29] 1558232934533426
[45,41] 385693203398414
[46,4] -45340812
[46,16] 488843740790518
[46,28] 590538479264548
[46,40] 311347503420686
[47,3] -2950143
[47,15] 161854297719340
[47,27] 164622225818254
[47,39] 229189282045000
[48,2] -129320
[48,14] 48829671232894
[48,26] 18067352421226
[48,38] 152932518345541
[49,1] -3355
[49,13] 13370338455581
[49,25] -13956359528882
[49,37] 91852003401892
[49,49] 521495386639
[50,12] 3308631621711
[50,24] -12070931153592
[50,36] 49253141372246
[50,48] 469549874364
[51,11] 736485145841
[51,23] -5869334140609
[51,35] 23361095637645
[51,47] 340873792133
[52,10] 146687371366
[52,22] -2137273855520
[52,34] 9694829203568
[52,46] 195595746284
[53,9] 25981378030
[53,21] -620888650060
[53,33] 3474219993076
[53,45] 84532960762
[54,8] 4062086746
[54,20] -146271550592
[54,32] 1057409950655
[54,44] 24014988862
[55,7] 555410734
[55,19] -27884944640
[55,31] 267440458532
[55,43] 1749893580
[55,55] 146549206
[56,6] 65612149
[56,18] -4244900696
[56,30] 54531763374
[56,42] -2222003812
[56,54] 113068990
[57,5] 6586292
[57,17] -504555888
[57,29] 8575195658
[57,41] -1260511198
[57,53] 50842280
[58,4] 548512
[58,16] -45340812
[58,28] 967450850
[58,40] -335568564
[58,52] 12378852
[59,3] 36539
[59,15] -2950143
[59,27] 68656415
[59,39] -39817689
[59,51] 1376892
[60,2] 1830
[60,14] -129320
[60,26] 2144821
[60,38] 1406538
[60,50] 45079
[61,1] 61
[61,13] -3355
[61,25] 5612
[61,37] -1098
[61,49] 61
[61,61] -1
[62,0] 1
