[1,1] -1
[2,2] 710
[3,3] -184103
[4,4] 21332589
[5,5] -1096214369
[6,6] 22727159569
[7,1] 71
[7,7] -183651027490
[8,2] 1604316
[8,8] 395683447016
[9,3] 558112895
[9,9] 1699754449139
[10,4] 6417227932
[10,10] 4198114688261
[11,5] -169728015317
[11,11] -150566930504704
[12,6] 585417661354
[12,12] 682998514103469
[13,1] -2059
[13,7] 3438184559582
[13,13] -1251810243715638
[14,2] 117507982
[14,8] 1063145165612
[14,14] 982439099262934
[15,3] -28354512288
[15,9] -318617823900494
[15,15] 8086552043780141
[16,4] 130554193660
[16,10] 1354319825728598
[16,16] -33932971370703105
[17,5] 1962172785181
[17,11] 873424086989964
[17,17] -29201814840016942
[18,6] -4541365446097
[18,12] -13113418748343402
[18,18] 295801053418273919
[19,1] 31453
[19,7] -191741069260093
[19,13] 28545361770100789
[19,19] -559073870799579665
[20,2] 1024601000
[20,8] 940466832953824
[20,14] -48626950942883276
[20,20] 822734006183317548
[21,3] 173562849212
[21,9] 1742925505362968
[21,15] -34135178572994391
[21,21] -319602820055162917
[22,4] -1011502740228
[22,10] -12577196806296461
[22,16] 428491081161194002
[22,22] -2587071715581183609
[23,5] -26728726162131
[23,11] 6365260137658233
[23,17] -390620395323059151
[23,23] 3725169403304267229
[24,6] 179561441711016
[24,12] 14462705917243092
[24,18] -660662395316058952
[24,24] 5424728816056076962
[25,1] -272782
[25,7] 545906010185912
[25,13] -58193479688066652
[25,19] 2176344185561995530
[25,25] -24960950132281048690
[26,2] -1070855299
[26,8] -2305720235263130
[26,14] 320849011252310821
[26,20] -6904333581919659604
[26,26] 56915691515736485849
[27,3] -310704973264
[27,9] -4420949236967352
[27,15] -180313820025492848
[27,21] 11797438064569999184
[27,27] -140282902600046472430
[28,4] 5058701174507
[28,10] 10084983419027300
[28,16] -625134177035973772
[28,22] -7930422259206743944
[28,28] 173065652851702612375
[29,5] 68341621087080
[29,11] -16605523979540224
[29,17] 1255120685118961822
[29,23] -6612264100511999826
[29,29] -187623479188618215336
[30,6] 30113623281851
[30,12] 55831255399807098
[30,18] -1082934648440931511
[30,24] 6340262936725950440
[30,30] 218654031721477293540
[31,1] 1355958
[31,7] -1225180099193662
[31,13] -16559658710889782
[31,19] 1785376933959832034
[31,25] -4671596640980288102
[31,31] -294188789154344553076
[32,2] -2392514974
[32,8] -987743651546153
[32,14] -175300938403181318
[32,20] -2150316858090313648
[32,26] 60089477042083137898
[32,32] 22732104296384577455
[33,3] 377130978036
[33,9] -1671371815396922
[33,15] 541830313013461346
[33,21] -21343078769495499296
[33,27] 151183629369890161182
[33,33] -618001830309158392314
[34,4] 2253021239636
[34,10] -13401477046019460
[34,16] 1025550915603205900
[34,22] -1405380624883951570
[34,28] -41561021773019709704
[34,34] 391305212889130767387
[35,5] 104398738931564
[35,11] -11905880336860398
[35,17] 908295656338604276
[35,23] -14323870217339585770
[35,29] 171513811694677967644
[35,35] -558273703843825139362
[36,6] 332270580841658
[36,12] -115851219134660877
[36,18] 1623362363898406530
[36,24] 5064881242697016758
[36,30] -232011011527698140004
[36,36] 954598751938082317074
[37,1] -3758598
[37,7] 2593953817137250
[37,13] -61199584074139768
[37,19] -1756499071394117052
[37,25] 5839629380214567724
[37,31] 143518220221494377034
[37,37] -558273703843825139362
[38,2] 3902780327
[38,8] 4791962463178066
[38,14] -124502172577574197
[38,20] 7566838936401657732
[38,26] -95135776295500608107
[38,32] 16589531846326889798
[38,38] 391305212889130767387
[39,3] -204829428488
[39,9] 15455910263430546
[39,15] -466535123532606168
[39,21] 11649308006131480786
[39,27] -46068596843902308400
[39,33] 246584111951810596716
[39,39] -618001830309158392314
[40,4] 1640236945936
[40,10] 19783890074618940
[40,16] -707521921260031434
[40,22] 13916011641798446200
[40,28] -90243950454057901702
[40,34] 16589531846326889798
[40,40] 22732104296384577455
[41,5] -31741187970926
[41,11] 46434773328648232
[41,17] -1945466677594972166
[41,23] 10490101963876473564
[41,29] 34987114782898858324
[41,35] 143518220221494377034
[41,41] -294188789154344553076
[42,6] 7653649346733
[42,12] 104397553603755514
[42,18] -851534558695209959
[42,24] -7670728119375963344
[42,30] 36688431799406290462
[42,36] -232011011527698140004
[42,42] 218654031721477293540
[43,1] 5536438
[43,7] -589849799633510
[43,13] 144385666150422816
[43,19] -2517308031573603812
[43,25] 7474382110923569960
[43,31] 34987114782898858324
[43,37] 171513811694677967644
[43,43] -187623479188618215336
[44,2] -1914848132
[44,8] 153242382946948
[44,14] 261515824933410844
[44,20] -1334501278827935974
[44,26] 11619323180855407044
[44,32] -90243950454057901702
[44,38] -41561021773019709704
[44,44] 173065652851702612375
[45,3] 13360326736
[45,9] -2007678641339488
[45,15] 99972965859923686
[45,21] -5075620748657305326
[45,27] 29985236792670105648
[45,33] -46068596843902308400
[45,39] 151183629369890161182
[45,45] -140282902600046472430
[46,4] 469613369936
[46,10] 6387265546859080
[46,16] 267851785585928916
[46,22] -2171792459959105520
[46,28] 11619323180855407044
[46,34] -95135776295500608107
[46,40] 60089477042083137898
[46,46] 56915691515736485849
[47,5] 689691386206
[47,11] 395614842418544
[47,17] -32420238126655678
[47,23] -3237538228931967164
[47,29] 7474382110923569960
[47,35] 5839629380214567724
[47,41] -4671596640980288102
[47,47] -24960950132281048690
[48,6] 7213586349824
[48,12] 16129650421182046
[48,18] 513030603010258760
[48,24] 1469575094075158805
[48,30] -7670728119375963344
[48,36] 5064881242697016758
[48,42] 6340262936725950440
[48,48] 5424728816056076962
[49,1] -4101883
[49,7] 10604349133337
[49,13] -18023669226025555
[49,19] 296793060231031385
[49,25] -3237538228931967164
[49,31] 10490101963876473564
[49,37] -14323870217339585770
[49,43] -6612264100511999826
[49,49] 3725169403304267229
[50,2] 342863260
[50,8] 39428472012120
[50,14] 873255778518188
[50,20] 929656716256861124
[50,26] -2171792459959105520
[50,32] 13916011641798446200
[50,38] -1405380624883951570
[50,44] -7930422259206743944
[50,50] -2587071715581183609
[51,3] -2071039541
[51,9] 3981845859621
[51,15] -43056774278772390
[51,21] 450852628221547474
[51,27] -5075620748657305326
[51,33] 11649308006131480786
[51,39] -21343078769495499296
[51,45] 11797438064569999184
[51,51] -319602820055162917
[52,4] -45411768057
[52,10] -221068982407908
[52,16] 22372797635090282
[52,22] 929656716256861124
[52,28] -1334501278827935974
[52,34] 7566838936401657732
[52,40] -2150316858090313648
[52,46] -6904333581919659604
[52,52] 822734006183317548
[53,5] -121046360791
[53,11] -413996868776605
[53,17] 2846641939514699
[53,23] 296793060231031385
[53,29] -2517308031573603812
[53,35] -1756499071394117052
[53,41] 1785376933959832034
[53,47] 2176344185561995530
[53,53] -559073870799579665
[54,6] 18778200842
[54,12] -508287984176588
[54,18] 72627862229865276
[54,24] 513030603010258760
[54,30] -851534558695209959
[54,36] 1623362363898406530
[54,42] -1082934648440931511
[54,48] -660662395316058952
[54,54] 295801053418273919
[55,1] 1379033
[55,7] 788850567270
[55,13] 206007742486368
[55,19] 2846641939514699
[55,25] -32420238126655678
[55,31] -1945466677594972166
[55,37] 908295656338604276
[55,43] 1255120685118961822
[55,49] -390620395323059151
[55,55] -29201814840016942
[56,2] 6246012
[56,8] -322685608404
[56,14] 631148948131712
[56,20] 22372797635090282
[56,26] 267851785585928916
[56,32] -707521921260031434
[56,38] 1025550915603205900
[56,44] -625134177035973772
[56,50] 428491081161194002
[56,56] -33932971370703105
[57,3] 87937121
[57,9] -2136153994225
[57,15] 1290848105117710
[57,21] -43056774278772390
[57,27] 99972965859923686
[57,33] -466535123532606168
[57,39] 541830313013461346
[57,45] -180313820025492848
[57,51] -34135178572994391
[57,57] 8086552043780141
[58,4] 1729132580
[58,10] 223082309418
[58,16] 631148948131712
[58,22] 873255778518188
[58,28] 261515824933410844
[58,34] -124502172577574197
[58,40] -175300938403181318
[58,46] 320849011252310821
[58,52] -48626950942883276
[58,58] 982439099262934
[59,5] 5715606145
[59,11] 1513466298114
[59,17] 206007742486368
[59,23] -18023669226025555
[59,29] 144385666150422816
[59,35] -61199584074139768
[59,41] -16559658710889782
[59,47] -58193479688066652
[59,53] 28545361770100789
[59,59] -1251810243715638
[60,6] -8422476672
[60,12] 3058013245532
[60,18] -508287984176588
[60,24] 16129650421182046
[60,30] 104397553603755514
[60,36] -115851219134660877
[60,42] 55831255399807098
[60,48] 14462705917243092
[60,54] -13113418748343402
[60,60] 682998514103469
[61,1] -165643
[61,7] -33498217196
[61,13] 1513466298114
[61,19] -413996868776605
[61,25] 395614842418544
[61,31] 46434773328648232
[61,37] -11905880336860398
[61,43] -16605523979540224
[61,49] 6365260137658233
[61,55] 873424086989964
[61,61] -150566930504704
[62,2] -1198764
[62,8] 11736615524
[62,14] 223082309418
[62,20] -221068982407908
[62,26] 6387265546859080
[62,32] 19783890074618940
[62,38] -13401477046019460
[62,44] 10084983419027300
[62,50] -12577196806296461
[62,56] 1354319825728598
[62,62] 4198114688261
[63,3] -6789162
[63,9] 69777402010
[63,15] -2136153994225
[63,21] 3981845859621
[63,27] -2007678641339488
[63,33] 15455910263430546
[63,39] -1671371815396922
[63,45] -4420949236967352
[63,51] 1742925505362968
[63,57] -318617823900494
[63,63] 1699754449139
[64,4] -11628096
[64,10] 11736615524
[64,16] -322685608404
[64,22] 39428472012120
[64,28] 153242382946948
[64,34] 4791962463178066
[64,40] -987743651546153
[64,46] -2305720235263130
[64,52] 940466832953824
[64,58] 1063145165612
[64,64] 395683447016
[65,5] 10140149
[65,11] -33498217196
[65,17] 788850567270
[65,23] 10604349133337
[65,29] -589849799633510
[65,35] 2593953817137250
[65,41] -1225180099193662
[65,47] 545906010185912
[65,53] -191741069260093
[65,59] 3438184559582
[65,65] -183651027490
[66,6] 36814636
[66,12] -8422476672
[66,18] 18778200842
[66,24] 7213586349824
[66,30] 7653649346733
[66,36] 332270580841658
[66,42] 30113623281851
[66,48] 179561441711016
[66,54] -4541365446097
[66,60] 585417661354
[66,66] 22727159569
[67,1] 4473
[67,7] 10140149
[67,13] 5715606145
[67,19] -121046360791
[67,25] 689691386206
[67,31] -31741187970926
[67,37] 104398738931564
[67,43] 68341621087080
[67,49] -26728726162131
[67,55] 1962172785181
[67,61] -169728015317
[67,67] -1096214369
[68,2] 33796
[68,8] -11628096
[68,14] 1729132580
[68,20] -45411768057
[68,26] 469613369936
[68,32] 1640236945936
[68,38] 2253021239636
[68,44] 5058701174507
[68,50] -1011502740228
[68,56] 130554193660
[68,62] 6417227932
[68,68] 21332589
[69,3] 62054
[69,9] -6789162
[69,15] 87937121
[69,21] -2071039541
[69,27] 13360326736
[69,33] -204829428488
[69,39] 377130978036
[69,45] -310704973264
[69,51] 173562849212
[69,57] -28354512288
[69,63] 558112895
[69,69] -184103
[70,4] 33796
[70,10] -1198764
[70,16] 6246012
[70,22] 342863260
[70,28] -1914848132
[70,34] 3902780327
[70,40] -2392514974
[70,46] -1070855299
[70,52] 1024601000
[70,58] 117507982
[70,64] 1604316
[70,70] 710
[71,5] 4473
[71,11] -165643
[71,17] 1379033
[71,23] -4101883
[71,29] 5536438
[71,35] -3758598
[71,41] 1355958
[71,47] -272782
[71,53] 31453
[71,59] -2059
[71,65] 71
[71,71] -1
[72,0] 1
