[20,0] 1
[19,1] -1159
[19,4] -11666
[19,7] -11305
[19,10] -3724
[19,13] -551
[19,16] -38
[19,19] -1
[18,2] 379411
[18,5] -2166684
[18,8] -374490
[18,11] 9196
[18,14] 4009
[18,17] 152
[17,3] -33567376
[17,6] 12759336
[17,9] -3606504
[17,12] -732640
[17,15] -28956
[16,1] -1458250
[16,4] 588843269
[16,7] 176552978
[16,10] 22151036
[16,13] 1420022
[16,16] -19798
[15,2] -270835500
[15,5] -3660782516
[15,8] -945928984
[15,11] -73456584
[15,14] 2024260
[14,3] 1594917000
[14,6] 5012781305
[14,9] 738530076
[14,12] -58155770
[13,1] -176640625
[13,4] 22069122250
[13,7] 15310492505
[13,10] 3870213588
[13,13] 122512475
[12,2] -5851406250
[12,5] -118241123000
[12,8] -55678002895
[12,11] -4340997944
[11,3] -56351625000
[11,6] 92316259500
[11,9] -9428621180
[10,1] -7273437500
[10,4] 346109937500
[10,7] 483776698500
[10,10] 115522713770
[9,2] 17960937500
[9,5] -1147759125000
[9,8] -542624743000
[8,3] -1430937500000
[8,6] -908683906250
[7,1] -134521484375
[7,4] 2773480468750
[7,7] 1914257421875
[6,2] 978759765625
[6,5] 3953632812500
[5,3] -7069335937500
[4,1] -1159667968750
[4,4] -4833496093750
[3,2] 4638671875000
[1,1] -3814697265625
