[20,0] 1
[19,0] 2204
[19,1] 39254
[19,2] 204288
[19,3] 539296
[19,4] 794694
[19,5] 516572
[19,6] -277191
[19,7] -832428
[19,8] -606366
[19,9] -29811
[19,10] 209760
[19,11] 94525
[19,12] -20596
[19,13] -20653
[19,14] 1064
[19,15] 2147
[19,16] -190
[19,17] -95
[19,18] 19
[19,19] -1
[18,0] 29894524
[18,1] 380126312
[18,2] 2367770709
[18,3] 9530251952
[18,4] 27584946054
[18,5] 60635127424
[18,6] 104410639523
[18,7] 143392319154
[18,8] 158551523209
[18,9] 141575766299
[18,10] 101823778598
[18,11] 58500695107
[18,12] 26455947339
[18,13] 9199502745
[18,14] 2372169988
[18,15] 428242007
[18,16] 49213990
[18,17] 2978953
[18,18] 59204
[17,0] -617866776
[17,1] -9083608920
[17,2] -58275803716
[17,3] -226409745144
[17,4] -605126134860
[17,5] -1183572722648
[17,6] -1751027447517
[17,7] -1992865062378
[17,8] -1756193488161
[17,9] -1197934151397
[17,10] -629745662659
[17,11] -253367305384
[17,12] -76577264536
[17,13] -15782953003
[17,14] -910325948
[17,15] 839871117
[17,16] 337588276
[17,17] 51554619
[16,0] -5146912128
[16,1] -41023733568
[16,2] -104327870412
[16,3] -64720199776
[16,4] 211521372504
[16,5] 418707788912
[16,6] -239392487780
[16,7] -2113136264090
[16,8] -4344957420994
[16,9] -5530900030514
[16,10] -5052428138512
[16,11] -3446656998651
[16,12] -1730582426590
[16,13] -601666915668
[16,14] -126481991689
[16,15] -10695281070
[16,16] 962580926
[15,0] 213632575136
[15,1] 2308692649664
[15,2] 10361841200040
[15,3] 27229428208208
[15,4] 48848311351840
[15,5] 64370616003520
[15,6] 65971346219808
[15,7] 55594400463456
[15,8] 40396354118981
[15,9] 25141072520078
[15,10] 11674182923648
[15,11] 2516779602441
[15,12] -978126246250
[15,13] -941015806053
[15,14] -317098663004
[15,15] -69476383269
[14,0] 989262234752
[14,1] -3664546682304
[14,2] -38509465203824
[14,3] -116175770274544
[14,4] -188941281560796
[14,5] -170548690427324
[14,6] -23090772804029
[14,7] 179228049652872
[14,8] 315745606266956
[14,9] 321111541423251
[14,10] 225998180728354
[14,11] 112333883217361
[14,12] 39189104233289
[14,13] 9527748858826
[14,14] 1104636145044
[13,0] -49479066216960
[13,1] -206085732561408
[13,2] -401507497818144
[13,3] -377861347040480
[13,4] -23596482940288
[13,5] 465672404042696
[13,6] 754131005440120
[13,7] 736089741270570
[13,8] 580221170649620
[13,9] 454824589543972
[13,10] 352213001610640
[13,11] 227149667579710
[13,12] 119250204456023
[13,13] 47833954257720
[12,0] 353580570600960
[12,1] 1623713104307712
[12,2] 3847962359565696
[12,3] 5413906816063232
[12,4] 4315805087044256
[12,5] 445219934897728
[12,6] -4404884551785916
[12,7] -7794732463691068
[12,8] -8311546289095617
[12,9] -6148971773277448
[12,10] -3175172082997934
[12,11] -1033229735820951
[12,12] -55033412596770
[11,0] -455396992117760
[11,1] -3503044802854400
[11,2] -11213078566434688
[11,3] -22968008027714816
[11,4] -32736790609201312
[11,5] -36409867575291648
[11,6] -36055577259043016
[11,7] -35519605901234256
[11,8] -33218881689646176
[11,9] -25531680527482648
[11,10] -14950848478765472
[11,11] -5961763582990376
[10,0] -3210048171622400
[10,1] -9286615231884288
[10,2] -14755458417092352
[10,3] -6677928138323456
[10,4] 19803433118198144
[10,5] 49622565494750784
[10,6] 57208017328167264
[10,7] 29882924539244576
[10,8] -8443770479656728
[10,9] -30185254697390736
[10,10] -29087026563102432
[9,0] 2656885362348032
[9,1] 30963844207984640
[9,2] 105360507492316160
[9,3] 231707359275475968
[9,4] 354952566935181824
[9,5] 424312998415000832
[9,6] 404555737680728736
[9,7] 296050523285410048
[9,8] 153950680864549768
[9,9] 28594695506487008
[8,0] 34114746610208768
[8,1] 150574141433180160
[8,2] 363284776073296896
[8,3] 508236631766416896
[8,4] 459334946159247616
[8,5] 335081231724295680
[8,6] 327656392164157440
[8,7] 406044247881591808
[8,8] 367945022637064480
[7,0] 57869872249749504
[7,1] 91297293531414528
[7,2] -131180277657057280
[7,3] -1125528897711165440
[7,4] -2474821210171272192
[7,5] -3071428315899189760
[7,6] -2104651271531883008
[7,7] -471144524843245312
[6,0] -25515741249486848
[6,1] -651127704696455168
[6,2] -2739088847537696768
[6,3] -6867224621488318464
[6,4] -10763816008824817664
[6,5] -11183360899790311936
[6,6] -7061289268723699200
[5,0] -269889615911157760
[5,1] -2185789002909155328
[5,2] -7376266147080527872
[5,3] -15623032142878384128
[5,4] -21606860191816607744
[5,5] -19876286451187910656
[4,0] -540590656567377920
[4,1] -3600957832868200448
[4,2] -11052784761099091968
[4,3] -21142119249966317568
[4,4] -26353117157186756608
[3,0] -617735933109600256
[3,1] -3738289456311173120
[3,2] -10670395527020773376
[3,3] -18673768554553212928
[2,0] -445524176921427968
[2,1] -2503523558865502208
[2,2] -6642770967471063040
[1,0] -194665442579578880
[1,1] -1015265218606399488
[0,0] -41196640173817856
