[12,0] 1
[11,1] 66
[11,2] -660
[11,3] -759
[11,4] 2486
[11,5] 517
[11,6] -2178
[11,7] 308
[11,8] 418
[11,9] -165
[11,10] 22
[11,11] -1
[10,1] -660
[10,2] 5291
[10,3] 15950
[10,4] 2640
[10,5] -1870
[10,6] -11913
[10,7] -90728
[10,8] 44308
[10,9] 34034
[10,10] 4675
[9,1] -759
[9,2] 15950
[9,3] -67716
[9,4] -315832
[9,5] -574299
[9,6] 792000
[9,7] 1059135
[9,8] -823372
[9,9] -85118
[8,1] 2486
[8,2] 2640
[8,3] -315832
[8,4] 1849210
[8,5] 2085622
[8,6] -3181134
[8,7] -1846790
[8,8] 2637382
[7,1] 517
[7,2] -1870
[7,3] -574299
[7,4] 2085622
[7,5] 7396554
[7,6] -993146
[7,7] -3367353
[6,1] -2178
[6,2] -11913
[6,3] 792000
[6,4] -3181134
[6,5] -993146
[6,6] 24673715
[5,1] 308
[5,2] -90728
[5,3] 1059135
[5,4] -1846790
[5,5] -3367353
[4,1] 418
[4,2] 44308
[4,3] -823372
[4,4] 2637382
[3,1] -165
[3,2] 34034
[3,3] -85118
[2,1] 22
[2,2] 4675
[1,1] -1
