[14,0] 1
[13,1] -338
[13,2] 260
[13,3] 4472
[13,4] -2080
[13,5] -11414
[13,6] 6292
[13,7] 7384
[13,8] -4732
[13,9] -637
[13,10] 962
[13,11] -247
[13,12] 26
[13,13] -1
[12,1] 260
[12,2] 29601
[12,3] -45240
[12,4] -235378
[12,5] 364988
[12,6] 623688
[12,7] -605020
[12,8] -422760
[12,9] -211458
[12,10] 344617
[12,11] 149006
[12,12] 11232
[11,1] 4472
[11,2] -45240
[11,3] -1178788
[11,4] 1497860
[11,5] 4096092
[11,6] -7755800
[11,7] -2072746
[11,8] 11288316
[11,9] 1722383
[11,10] -7342010
[11,11] -463359
[10,1] -2080
[10,2] -235378
[10,3] 1497860
[10,4] 22663056
[10,5] -15351908
[10,6] -22625642
[10,7] 39218764
[10,8] -36645427
[10,9] -7955818
[10,10] 29612960
[9,1] -11414
[9,2] 364988
[9,3] 4096092
[9,4] -15351908
[9,5] -210202850
[9,6] 45002256
[9,7] 63951888
[9,8] -27313156
[9,9] 101661651
[8,1] 6292
[8,2] 623688
[8,3] -7755800
[8,4] -22625642
[8,5] 45002256
[8,6] 901347642
[8,7] -30941508
[8,8] -106742688
[7,1] 7384
[7,2] -605020
[7,3] -2072746
[7,4] 39218764
[7,5] 63951888
[7,6] -30941508
[7,7] -1508421330
[6,1] -4732
[6,2] -422760
[6,3] 11288316
[6,4] -36645427
[6,5] -27313156
[6,6] -106742688
[5,1] -637
[5,2] -211458
[5,3] 1722383
[5,4] -7955818
[5,5] 101661651
[4,1] 962
[4,2] 344617
[4,3] -7342010
[4,4] 29612960
[3,1] -247
[3,2] 149006
[3,3] -463359
[2,1] 26
[2,2] 11232
[1,1] -1
