[1,1] -1
[2,2] 1020
[3,1] 34
[3,3] -148750
[4,2] 39338
[4,4] 1302744
[5,1] -425
[5,3] 228786
[5,5] -5482160
[6,2] -19380
[6,4] -5344035
[6,6] 35757324
[7,1] 2414
[7,3] -1237039
[7,5] 20650682
[7,7] -125129690
[8,2] -78591
[8,4] 7676112
[8,6] -73197308
[8,8] 464807812
[9,1] -6392
[9,3] 2008074
[9,5] -33066071
[9,7] 405085554
[9,9] -859994351
[10,2] 175032
[10,4] -7056598
[10,6] 162042096
[10,8] -581934820
[10,10] 464807812
[11,1] 7990
[11,3] -1439985
[11,5] 48417462
[11,7] -303843482
[11,9] 405085554
[11,11] -125129690
[12,2] -127058
[12,4] 6326448
[12,6] -56371949
[12,8] 162042096
[12,10] -73197308
[12,12] 35757324
[13,1] -5287
[13,3] 564944
[13,5] -8350128
[13,7] 48417462
[13,9] -33066071
[13,11] 20650682
[13,13] -5482160
[14,2] 35972
[14,4] -793356
[14,6] 6326448
[14,8] -7056598
[14,10] 7676112
[14,12] -5344035
[14,14] 1302744
[15,1] 1530
[15,3] -49317
[15,5] 564944
[15,7] -1439985
[15,9] 2008074
[15,11] -1237039
[15,13] 228786
[15,15] -148750
[16,2] -1598
[16,4] 35972
[16,6] -127058
[16,8] 175032
[16,10] -78591
[16,12] -19380
[16,14] 39338
[16,16] 1020
[17,1] -85
[17,3] 1530
[17,5] -5287
[17,7] 7990
[17,9] -6392
[17,11] 2414
[17,13] -425
[17,15] 34
[17,17] -1
[18,0] 1
