[30,0] 1
[29,0] 1239347162627453668
[29,1] 9349687003007399528
[29,2] 13058088890277201536
[29,3] -439068083365912226
[29,4] -13158565464883639384
[29,5] -9510317131517738200
[29,6] -570045790204105514
[29,7] 2268186585459862880
[29,8] 997529830613274710
[29,9] -16354556783406849
[29,10] -122926758984957072
[29,11] -27522518161628623
[29,12] 3942185627940206
[29,13] 2453998372801404
[29,14] 162946147215632
[29,15] -88260676211703
[29,16] -16249307575172
[29,17] 1203161672776
[29,18] 542845841770
[29,19] 12629585550
[29,20] -9729781938
[29,21] -733107211
[29,22] 100018622
[29,23] 12154277
[29,24] -559642
[29,25] -105589
[29,26] 1334
[29,27] 493
[29,29] -1
[28,0] 1964988988351895025898822504288133676
[28,1] 8779685366164510386939651637537812832
[28,2] 18759321964529607621334496290009869680
[28,3] 25508389605945464026576656693522807692
[28,4] 24781425369405890899491520911707556614
[28,5] 18305869575689156489029995674962747552
[28,6] 10683779871779268783336018228638856569
[28,7] 5053329087688572600844982039995862592
[28,8] 1971477907593927605011860166976995096
[28,9] 642320125609335121057681027342113704
[28,10] 176289446483274931425917778135415240
[28,11] 40997370269022664383731401130858088
[28,12] 8107396436210245137442384992718111
[28,13] 1365459841468367748420544153502432
[28,14] 195806363391635177169829024674910
[28,15] 23857051709940773284639055291696
[28,16] 2459885986045444393377028620130
[28,17] 213337686862761878737936759440
[28,18] 15428995130645858131987388324
[28,19] 919701150095086984002573196
[28,20] 44480883422691210076030456
[28,21] 1708919454073598778991760
[28,22] 50663428857677001831273
[28,23] 1112613918272687898204
[28,24] 17044231162953190310
[28,25] 165792963094227640
[28,26] 871501546038371
[28,27] 1798754281184
[28,28] 642463361
[27,0] -2777407818510334105224853323509029714960
[27,1] -11226556243336348129579475852069253486840
[27,2] -21330261657019044165878200107706872424980
[27,3] -25266631345027107319385533234051271447858
[27,4] -20841103761267572903365752695769292053980
[27,5] -12633429859687778753754787669365642543570
[27,6] -5761494128025119021912417031482223676458
[27,7] -1967785247182944726547369664141623398894
[27,8] -475229183300721793644768811096790256734
[27,9] -60578641659251943768621916760420557545
[27,10] 9005889673888875316208097485412048492
