[1,1] -1
[2,2] 2006
[3,3] -1478599
[4,4] 483985850
[5,5] -65350297735
[6,6] 2011456752352
[7,1] 118
[7,7] 99191620799032
[8,2] 24297144
[8,8] -179122501784680
[9,3] 47895339190
[9,9] -40272304753315035
[10,4] 11313585268444
[10,10] -475863728635841862
[11,5] 603269354676922
[11,11] -714411639896241027
[12,6] 13713290785466020
[12,12] 18810504480121581974
[13,1] -5487
[13,7] 146858042239577442
[13,13] 93228751420823816535
[14,2] 5937987209
[14,8] 549946498997421744
[14,14] -196625448836521192484
[15,3] -14066880699725
[15,9] -3717454803779332604
[15,15] -2318832001731357550019
[16,4] -747882796228015
[16,10] -43899861078360946424
[16,16] -1624216139330810318554
[17,5] -17668459868630567
[17,11] -58731809180352154468
[17,17] 26294153895200946001520
[18,6] -166592974417532951
[18,12] 826567123833649110720
[18,18] 55143097596542882504544
[19,1] 127440
[19,7] 224420739643682634
[19,13] 3136662912909933767232
[19,19] -149074654674730810747680
[20,2] 221481517180
[20,8] 10511416591638856508
[20,14] -4881841330359575223256
[20,20] -529797566420081063621694
[21,3] 484348405134520
[21,9] 5044407482941507501
[21,15] -43177613331785178126986
[21,21] 372402919192643184076155
[22,4] 14173656118617928
[22,10] -206721984869395840085
[22,16] -28073043938393597916980
[22,22] 2734882899183748056514988
[23,5] -18400495364644928
[23,11] -387933946777602198355
[23,17] 252822868131143669212048
[23,23] 129174127764926882918761
[24,6] -1223027420592775020
[24,12] 1894021411420133090389
[24,18] 486919889824976536665812
[24,24] -9175196388979764003983614
[25,1] -1545623
[25,7] 6477542434060628634
[25,13] 6262450352914178341221
[25,19] -462250353721188793369012
[25,25] -4950472698793262982240768
[26,2] 1684126191480
[26,8] -1782953330865624936
[26,14] -3666380917695391589924
[26,20] -2074698905986727206037828
[26,26] 18743982605919078250104008
[27,3] -2101002548359776
[27,9] -35728834433876850040
[27,15] -39734042788259692021152
[27,21] -996652622396957682764788
[27,27] 17333800638720633142201934
[28,4] 83481059727831522
[28,10] 77024689582858933792
[28,16] -41073310345519181876494
[28,22] 2654603638309324619520948
[28,28] -14584740694765360564955986
[29,5] -1011693187106283197
[29,11] -178313597440306020346
[29,17] 75936732946057013883002
[29,23] 3704473827230774076791646
[29,29] -13599002093305217191295397
[30,6] 5171590726899213380
[30,12] -658842856987052218256
[30,18] 154575682904591824645836
[30,24] 2421370931829432977795936
[30,30] 4248743406190645527355100
[31,1] 9322354
[31,7] -11505414410939157413
[31,13] 2119348525732416044948
[31,19] -12837590415180556544317
[31,25] 1486907870011070023955656
[31,31] -13599002093305217191295397
[32,2] 2314350571212
[32,8] 3548020109086516088
[32,14] 5149393142022465108272
[32,20] -187241929985263057430965
[32,26] -3199170130218571945259344
[32,32] -14584740694765360564955986
[33,3] 463168058219208
[33,9] 16604597154306412006
[33,15] -1283150946657083837292
[33,21] 67752681200054153791808
[33,27] -7489921974136917901609232
[33,33] 17333800638720633142201934
[34,4] -8818747858545508
[34,10] 59792334585976928616
[34,16] -263329663542038683836
[34,22] 48312628066485156701702
[34,28] -3199170130218571945259344
[34,34] 18743982605919078250104008
[35,5] 46041751906433806
[35,11] -285713283348989843583
[35,17] 5125118868677273313724
[35,23] 1814075266540306517341
[35,29] 1486907870011070023955656
[35,35] -4950472698793262982240768
[36,6] -150940460470762876
[36,12] 170765705951946726778
[36,18] -13363543966621108944508
[36,24] 393336271002022477730878
[36,30] 2421370931829432977795936
[36,36] -9175196388979764003983614
[37,1] -24033355
[37,7] 721983009531689068
[37,13] -536823674164355458338
[37,19] -260957799090133916976
[37,25] 1814075266540306517341
[37,31] 3704473827230774076791646
[37,37] 129174127764926882918761
[38,2] 245010762551
[38,8] -1644195705346921768
[38,14] 137669732507598037492
[38,20] 19950165228829805283040
[38,26] 48312628066485156701702
[38,32] 2654603638309324619520948
[38,38] 2734882899183748056514988
[39,3] -26114323284392
[39,9] 1725426087145999372
[39,15] -983127509800822207214
[39,21] -7259055099013547633448
[39,27] 67752681200054153791808
[39,33] -996652622396957682764788
[39,39] 372402919192643184076155
[40,4] 108371722377268
[40,10] 1140856121079945616
[40,16] 918341808269980800514
[40,22] 19950165228829805283040
[40,28] -187241929985263057430965
[40,34] -2074698905986727206037828
[40,40] -529797566420081063621694
[41,5] -25364432940835
[41,11] 7387312100155778340
[41,17] -2166830742776088049238
[41,23] -260957799090133916976
[41,29] -12837590415180556544317
[41,35] -462250353721188793369012
[41,41] -149074654674730810747680
[42,6] 5037281695377209
[42,12] 22379720703850889172
[42,18] 1659957651789479730556
[42,24] -13363543966621108944508
[42,30] 154575682904591824645836
[42,36] 486919889824976536665812
[42,42] 55143097596542882504544
[43,1] 18736748
[43,7] -455505102383021
[43,13] -12193089635195007392
[43,19] -2166830742776088049238
[43,25] 5125118868677273313724
[43,31] 75936732946057013883002
[43,37] 252822868131143669212048
[43,43] 26294153895200946001520
[44,2] -13990319304
[44,8] 30757598188192710
[44,14] 40249809234385692896
[44,20] 918341808269980800514
[44,26] -263329663542038683836
[44,32] -41073310345519181876494
[44,38] -28073043938393597916980
[44,44] -1624216139330810318554
[45,3] 307075227448
[45,9] -52864747025244616
[45,15] -24314162357956130440
[45,21] -983127509800822207214
[45,27] -1283150946657083837292
[45,33] -39734042788259692021152
[45,39] -43177613331785178126986
[45,45] -2318832001731357550019
[46,4] 2960487730496
[46,10] -16920612620204337
[46,16] 40249809234385692896
[46,22] 137669732507598037492
[46,28] 5149393142022465108272
[46,34] -3666380917695391589924
[46,40] -4881841330359575223256
[46,46] -196625448836521192484
[47,5] 17346756853180
[47,11] -251137144569660965
[47,17] -12193089635195007392
[47,23] -536823674164355458338
[47,29] 2119348525732416044948
[47,35] 6262450352914178341221
[47,41] 3136662912909933767232
[47,47] 93228751420823816535
[48,6] 81668105853640
[48,12] -162388009046404837
[48,18] 22379720703850889172
[48,24] 170765705951946726778
[48,30] -658842856987052218256
[48,36] 1894021411420133090389
[48,42] 826567123833649110720
[48,48] 18810504480121581974
[49,1] -1899446
[49,7] 192661603837736
[49,13] -251137144569660965
[49,19] 7387312100155778340
[49,25] -285713283348989843583
[49,31] -178313597440306020346
[49,37] -387933946777602198355
[49,43] -58731809180352154468
[49,49] -714411639896241027
[50,2] 169628304
[50,8] 357598251427824
[50,14] -16920612620204337
[50,20] 1140856121079945616
[50,26] 59792334585976928616
[50,32] 77024689582858933792
[50,38] -206721984869395840085
[50,44] -43899861078360946424
[50,50] -475863728635841862
[51,3] 1428140902
[51,9] 458269968599892
[51,15] -52864747025244616
[51,21] 1725426087145999372
[51,27] 16604597154306412006
[51,33] -35728834433876850040
[51,39] 5044407482941507501
[51,45] -3717454803779332604
[51,51] -40272304753315035
[52,4] -150795268
[52,10] 357598251427824
[52,16] 30757598188192710
[52,22] -1644195705346921768
[52,28] 3548020109086516088
[52,34] -1782953330865624936
[52,40] 10511416591638856508
[52,46] 549946498997421744
[52,52] -179122501784680
[53,5] -22832466758
[53,11] 192661603837736
[53,17] -455505102383021
[53,23] 721983009531689068
[53,29] -11505414410939157413
[53,35] 6477542434060628634
[53,41] 224420739643682634
[53,47] 146858042239577442
[53,53] 99191620799032
[54,6] -44224013214
[54,12] 81668105853640
[54,18] 5037281695377209
[54,24] -150940460470762876
[54,30] 5171590726899213380
[54,36] -1223027420592775020
[54,42] -166592974417532951
[54,48] 13713290785466020
[54,54] 2011456752352
[55,1] 30208
[55,7] -22832466758
[55,13] 17346756853180
[55,19] -25364432940835
[55,25] 46041751906433806
[55,31] -1011693187106283197
[55,37] -18400495364644928
[55,43] -17668459868630567
[55,49] 603269354676922
[55,55] -65350297735
[56,2] 259128
[56,8] -150795268
[56,14] 2960487730496
[56,20] 108371722377268
[56,26] -8818747858545508
[56,32] 83481059727831522
[56,38] 14173656118617928
[56,44] -747882796228015
[56,50] 11313585268444
[56,56] 483985850
[57,3] 466100
[57,9] 1428140902
[57,15] 307075227448
[57,21] -26114323284392
[57,27] 463168058219208
[57,33] -2101002548359776
[57,39] 484348405134520
[57,45] -14066880699725
[57,51] 47895339190
[57,57] -1478599
[58,4] 259128
[58,10] 169628304
[58,16] -13990319304
[58,22] 245010762551
[58,28] 2314350571212
[58,34] 1684126191480
[58,40] 221481517180
[58,46] 5937987209
[58,52] 24297144
[58,58] 2006
[59,5] 30208
[59,11] -1899446
[59,17] 18736748
[59,23] -24033355
[59,29] 9322354
[59,35] -1545623
[59,41] 127440
[59,47] -5487
[59,53] 118
[59,59] -1
[60,0] 1
