[18,0] 1
[17,0] 1057699051732800
[17,1] 577012686527130
[17,2] -355239589058264
[17,3] -254235144582246
[17,4] -24652797708972
[17,5] 11693950888085
[17,6] 2601545396244
[17,7] -64759623336
[17,8] -59467961324
[17,9] -2836152432
[17,10] 550914648
[17,11] 47389081
[17,12] -2266032
[17,13] -297942
[17,14] 3468
[17,15] 867
[17,17] -1
[16,0] 281197049115963322119499967556
[16,1] 346227335298986627152904987232
[16,2] 196270520599374964290480854259
[16,3] 67843841616258178068345291984
[16,4] 15961139282700681414068374878
[16,5] 2700837936103862972190689568
[16,6] 338596568385753853238871021
[16,7] 31908842241239250235822208
[16,8] 2268468061817013613703373
[16,9] 120926420399350262106984
[16,10] 4755521084406119974155
[16,11] 133979583510971068080
[16,12] 2576356415459575272
[16,13] 31191056932771504
[16,14] 205856239579398
[16,15] 551843436744
[16,16] 276824481
[15,0] 661826076027352834366918592189916
[15,1] 788371892189295527402486999527761
[15,2] 427692523776007826858222603954292
[15,3] 138602428902250754398140328751726
[15,4] 29465656345992406087651160317644
[15,5] 4213204407100517121648625901178
[15,6] 389900765293513760947306402280
[15,7] 18781641208993594980161898927
[15,8] -329433530313507474965536200
[15,9] -122734469195682115953518266
[15,10] -8811794649472810379493840
[15,11] -292660158249308358342912
[15,12] -2310912254261508377576
[15,13] 126438757434002954448
[15,14] 2640004569129161412
[15,15] -6701775785812481
[14,0] 704289382416007210781229753991094742
[14,1] 784743259953969324721491821767392600
[14,2] 381802281368311988983580696858218310
[14,3] 105028848125538083238926518770643392
[14,4] 17515869655047306220629662499375975
[14,5] 1709320493083615068359582854886636
[14,6] 71518658442012469233800365155489
[14,7] -3157388557938146732778123480984
[14,8] -523319663105052598872835936338
[14,9] -17544537873288917685580621104
[14,10] 621117213846722530195178730
[14,11] 64218197154319406815413044
[14,12] 2074579989263574416487327
[14,13] 51574095473660986360944
[14,14] 1144468683849711331907
[13,0] 402094519994897958219364940154011047836
[13,1] 388753813246315499347937604478683955677
[13,2] 157360324025440095593589397639666465944
[13,3] 33836014964489453937260008371412533585
[13,4] 3878085702889798994541995495037221652
[13,5] 154185860394119172187930329129860643
[13,6] -15903770612206922100581782880206692
[13,7] -2294161866208361501659496838218664
[13,8] -85621280916549470149824242671416
[13,9] 2259017845557997912184080234317
[13,10] 244501005616804494498309407884
[13,11] 3468449802830862849333527475
[13,12] -105045523617082566260824872
[13,13] -830223747854002489141291
[12,0] 116846927044380971868618640308488314173855
[12,1] 90979073202576235827432021114309038283780
[12,2] 28521721582846837506118690237651281788193
[12,3] 4325994529580087651427160104694153337904
[12,4] 239125137434603061199283064733570515240
[12,5] -19342164082792608795505620925247872644
[12,6] -3656951778425933471158189001189836539
[12,7] -153176499075934712479920128206762692
