[42,0] 1
[41,0] -13202
[41,1] 176628
[41,2] -944025
[41,3] 2511004
[41,4] -1821671
[41,5] -12019273
[41,6] 55678410
[41,7] -131601923
[41,8] 193468832
[41,9] -132664069
[41,10] -167187340
[41,11] 706285106
[41,12] -1263433655
[41,13] 1437281609
[41,14] -881100947
[41,15] -401913488
[41,16] 1937713382
[41,17] -2983995949
[41,18] 2962083622
[41,19] -1819520058
[41,20] 71065382
[41,21] 1512659863
[41,22] -2336164625
[41,23] 2249851179
[41,24] -1525696592
[41,25] 617049221
[41,26] 103011516
[41,27] -476877191
[41,28] 543365579
[41,29] -434862236
[41,30] 278625381
[41,31] -148820160
[41,32] 67135327
[41,33] -25582360
[41,34] 8163428
[41,35] -2146022
[41,36] 453706
[41,37] -74661
[41,38] 9143
[41,39] -779
[41,40] 41
[41,41] -1
[40,0] 79275181
[40,1] -1417180416
[40,2] 12759926889
[40,3] -77085998054
[40,4] 351068299327
[40,5] -1283957834791
[40,6] 3921870291237
[40,7] -10273173108365
[40,8] 23517548570338
[40,9] -47716338424751
[40,10] 86739632637599
[40,11] -142466506014666
[40,12] 212846980351511
[40,13] -290813171581515
[40,14] 364941922278928
[40,15] -422071779880584
[40,16] 451096718663472
[40,17] -446429864260035
[40,18] 409692974825387
[40,19] -348942930446666
[40,20] 275917063260816
[40,21] -202496376540913
[40,22] 137829669327531
[40,23] -86883522878059
[40,24] 50631679603479
[40,25] -27200555311243
[40,26] 13436491112917
[40,27] -6073013404847
[40,28] 2507652305678
[40,29] -936948162446
[40,30] 320230644402
[40,31] -97606717240
[40,32] 28929849936
[40,33] -7399275166
[40,34] 2412798627
[40,35] -493938644
[40,36] 211023146
[40,37] -7351095
[40,38] 8999213
[40,39] 3134081
[40,40] 81180
[39,0] -4532942616
[39,1] 82016715126
[39,2] -757977522937
[39,3] 4687232132786
[39,4] -21679615095203
[39,5] 79821354576135
[39,6] -243448374574525
[39,7] 632123441991297
[39,8] -1424937804444200
[39,9] 2828916185596004
[39,10] -4999405177899854
[39,11] 7928237127383332
[39,12] -11349809558315181
[39,13] 14730759248330818
[39,14] -17382828450169777
[39,15] 18676332071319999
[39,16] -18267346158339093
[39,17] 16231015736179299
[39,18] -13034846306896041
[39,19] 9366608656169470
[39,20] -5902331130365452
[39,21] 3116528264204759
[39,22] -1203436837575486
[39,23] 108522288012598
[39,24] 368670283228156
[39,25] -467819446899503
[39,26] 388374489163790
[39,27] -261410520385629
[39,28] 150678975901241
[39,29] -76086404825186
[39,30] 33657822415130
[39,31] -13069019746626
[39,32] 4339557744251
[39,33] -1227252821691
[39,34] 267226537794
[39,35] -45161825294
[39,36] 1706197165
[39,37] 39975738
[39,38] -263795189
[39,39] -94254859
[38,0] 126072327784
[38,1] -2501154478734
[38,2] 23721923805327
[38,3] -145712673722406
[38,4] 661314426451965
[38,5] -2378260592133577
[38,6] 7068701048582596
[38,7] -17846127357846055
[38,8] 39002095015492893
[38,9] -74793871433897056
[38,10] 127110663519063005
[38,11] -192823308681776538
[38,12] 262393505708147996
[38,13] -321244524511788698
[38,14] 354126711868315114
[38,15] -350890631872430361
[38,16] 310858574616729698
[38,17] -243468244370650513
[38,18] 164722148263654865
[38,19] -91266199912483430
[38,20] 34957326227083823
[38,21] -213425446317511
[38,22] -15268738157966070
[38,23] 17633467642829744
[38,24] -13541474615623668
[38,25] 7994216160387265
[38,26] -3589190719174394
[38,27] 1017437860557165
[38,28] 88219122457928
[38,29] -356177221441696
[38,30] 294000473156110
[38,31] -168618470398188
[38,32] 77814919657905
[38,33] -29836419845897
[38,34] 9837335950093
[38,35] -2738298305714
[38,36] 669393123509
[38,37] -125276846276
[38,38] 19654458476
[37,0] -2955827998456
[37,1] 57241717269600
[37,2] -506845828273484
[37,3] 2930343183022898
[37,4] -12640901069129347
[37,5] 43444558942019094
[37,6] -123673045151238952
