[24,0] 1
[23,0] -6524731733661564308914801162036608
[23,1] -1533768685809122031544064284508808
[23,2] 278338698364598177680531434991168
[23,3] 64186554975489884351483355491460
[23,4] 498199250894760462029173850880
[23,5] -465967625546094351328424432630
[23,6] -19649363421362827646283030720
[23,7] 1081761577182514219441117968
[23,8] 77521523214580505886004448
[23,9] -635967287065589284264338
[23,10] -131369740271045389879200
[23,11] -1016564168804070207839
[23,12] 118600141299869232576
[23,13] 1961819854973161767
[23,14] -61445841774827264
[23,15] -1456545728384910
[23,16] 18374274246816
[23,17] 592627247380
[23,18] -2958761952
[23,19] -139507029
[23,20] 199456
[23,21] 18009
[23,23] -1
[22,0] 11275545686047857847728857602107997689144441727514797647437779462656
[22,1] 3324588925502320502590973317211266600972517257664577453222282405888
[22,2] 456177697647898629307874060411771760973035640269573898145918233860
[22,3] 38655369706700729683679634768389347671787022504641263162061312896
[22,4] 2263576005039646646122758050872578467111721395905091725229067868
[22,5] 97112398767569448762154938292424730792235800958815929272651008
[22,6] 3157511560702307759293135725640067578509707891549144231649090
[22,7] 79383886097570554283866947600090548703700436388121784953536
[22,8] 1560610961721464226822548612108298986706706860894889866042
[22,9] 24100957995459829236226367235388906611211140709235731200
[22,10] 292122997859209724492669498607246854881454750184113031
[22,11] 2762158726350897530234236281166393882836986139346176
[22,12] 20140085166275486846317507370304809726795528964384
[22,13] 111227255582065952581851200783111474449063129856
[22,14] 453327305442792426309272793075590408794404576
[22,15] 1314217522288918823784968796559863836325696
[22,16] 2571896044947659108745285285393126791112
[22,17] 3149838005068137257227182925133251200
[22,18] 2155836553373654192468133682250157
[22,19] 690261964658129799335034573632
[22,20] 76444626830465736958075677
[22,21] 1628962167331972143360
[22,22] 1503263569168851
[21,0] 26073126890456280688028040950665206333299540619209378193415771377983246196530688
[21,1] 11277255578123306826392695863270015237572422920387804727264786417610599863159744
[21,2] 1421653005761214317535635773691688808007616054783715150738379293569156533848320
[21,3] 74829949354077308480014520769329930681666896253446176317621010955748468519048
[21,4] 1077923488670747263178386187986105457064477464108150699749632309859679836224
[21,5] -60130843972665311483824686148266453374935635892837074320458300343193871104
[21,6] -2870909912445566377664397657640756561704776312456940316021074659923467584
[21,7] -29881065532689326181786812264198992094318580276102715407827981620758906
[21,8] 735963217419836221824026104293174406724309064113726877862073882376576
[21,9] 19210435540228792620463558512159615128058967140722999469385065755238
[21,10] 17407618162827506217772898660722712768923366018456617685846749312
[21,11] -3069962049185987559863732339642673129765104857499167672782036564
[21,12] -15767873565765851898997556381692158891005464402260122715459104
[21,13] 205290049203501892193715533518751392243941874374338877252336
[21,14] 817646644162579269530812858465264317616922207288699490432
