[1,1] -1
[2,2] 555721
[3,1] 118
[3,3] -74657686208
[4,2] 3050482192
[4,4] 1722440100618733
[5,1] -6431
[5,3] 359886654309032
[5,5] -1668109293446588484
[6,2] 1074188546624
[6,4] 724262283160602290
[6,6] 46947279949108646803
[7,1] 214878
[7,3] -78664350937644628
[7,5] -203363551293472306
[7,7] 5239890825999279617131
[8,2] 82524626243418
[8,4] -15408044839775907974
[8,6] -4065439884863085247538
[8,8] 44637437701100682724192
[9,1] -4928211
[9,3] 2723732523939904424
[9,5] 1236409890386913728951
[9,7] -60338430748401419619232
[9,9] -5640288797726933956129378
[10,2] 1797790614001994
[10,4] 6227725012868971762
[10,6] 53654787200941603616093
[10,8] 4392016793510477278697254
[10,10] -126959004441475254929682376
[11,1] 82331196
[11,3] -34209973948307414350
[11,5] -17248529904617451198306
[11,7] -1765610942668430422498823
[11,9] 121790641446366924309819212
[11,11] -1369727700820247413318604477
[12,2] 8305023164585736
[12,4] 1714583368667041889889
[12,6] 229224521523163957204978
[12,8] -87676259229118534977629675
[12,10] 1194421907127184588641464190
[12,12] -120243283950815691144942962177
[13,1] -1037935670
[13,3] 213166237091889064106
[13,5] 29789575651797497221576
[13,7] 37046663314344832967492876
[13,9] -933287771900165794186089120
[13,11] 99877139313427185568040183936
[13,13] -5443631761013552519927548559460
[14,2] -33792539365299990
[14,4] -8304881625453875762436
[14,6] -8627455272461432841488326
[14,8] 615965285200660781839488458
[14,10] -58316829104170249685866917745
[14,12] 4700497229924082183351260304252
[14,14] -105279055674858948144046227390837
[15,1] 10098261112
[15,3] -825505395075975551625
[15,5] 938075655238871216627554
[15,7] -266000610448677010692496043
[15,9] 24833522019882633447078224384
[15,11] -2995420964518658754289105665707
[15,13] 92924805520576697944822393066718
[15,15] -1124184253203062436164164246202436
[16,2] -34338106555654124
[16,4] -31134621314247023518287
[16,6] 65035513428158144181360414
[16,8] -7720407805218492947062463871
[16,10] 1384914950591724449365184866360
[16,12] -63198037428718391312351187412916
[16,14] 1012465790291686578334340764323156
[16,16] -7175204189674108227577779715780369
[17,1] -76943667699
[17,3] 2402423692016666672124
[17,5] -7958262045545469995164447
[17,7] 1777447688012822067081270764
[17,9] -456642957892481656390407827528
[17,11] 32385542493980240604363892850250
[17,13] -734267075199513422647943563045869
[17,15] 6680739387215459737089407580450444
[17,17] -25161233953119294541088146887623938
[18,2] 402320622501004637
[18,4] 336470595911352090175982
[18,6] -305876341971696262926547715
[18,8] 105760731459916289374695183356
[18,10] -12258865642463523337140619531607
[18,12] 418527805959762324545309212149964
[18,14] -5320610416276212568518518786728115
[18,16] 25559724860425846631815394132283478
[18,18] -1442729748841899723552621984434367
[19,1] 463658734226
[19,3] -5048901938786366572905
[19,5] 32227077041118973942871484
[19,7] -16636887240931945192049215680
[19,9] 3343005052135224081153871589928
[19,11] -181467694089432935974019279201227
[19,13] 3475326892760705756704971451722680
[19,15] -24775392744662933575940481130618250
[19,17] 23310011132433158627647478018453826
[19,19] 566820866858122062136115556732967678
[20,2] -974633453037337432
[20,4] -1162453100436543482063885
[20,6] 1683037352155292368379090684
[20,8] -631680113233123950591570871684
[20,10] 57847537769147535151601020073822
[20,12] -1756846954030033268772356778643115
[20,14] 20002254035584418184534645405529050
[20,16] -64395745445183002925766531431229955
[20,18] -392448398080158364784181178214233798
[20,20] 3892234313406714794697435580024717625
[21,1] -2224358639687
[21,3] 7809848998130762492016
[21,5] -101031268537651449828812979
[21,7] 78412922938901664067984240620
[21,9] -13163729748429817143257412545088
[21,11] 655806188032129195837994792335706
[21,13] -12190154867024192213918673805409706
[21,15] 81966384063287000307110630676186858
[21,17] 26795382138471295018280744192948743
[21,19] -3015849208682111069266363574454545198
[21,21] 15608509359433999332886557917346703211
[22,2] 1029501102409211666
[22,4] 2442593882429849223256454
[22,6] -5783129580070362765823927655
[22,8] 2066589453872922883457104937130
[22,10] -175729605541691686508249136557274
[22,12] 5350831097728630627657201659369522
[22,14] -64012061459498396179400832464558035
[22,16] 233533842363658895888498254752009678
[22,18] 1116081108305195838197164242937471712
[22,20] -12458712303412515603593436413988000622
[22,22] 41331369057223018314016042587177683900
[23,1] 8535642301190
[23,3] -9943899158804417574308
[23,5] 221596533156662016337042322
[23,7] -206367180726384244129370380964
[23,9] 32873157401064936421105837176470
[23,11] -1660779207248656434309685521001308
[23,13] 33209124339157383524836560596673572
[23,15] -264892597946249806675867314423254690
[23,17] 419233832299086773293324729382395080
[23,19] 5523625206048266415620219416179900154
[23,21] -33149389619403296607376788959676948058
[23,23] 67096731390655432504340725363999553459
[24,2] 247587939453561210
[24,4] -3327277995499425341480521
[24,6] 11489714148811550150426176102
[24,8] -4076090926561855098168127901299
[24,10] 359141413314296750365202080465742
[24,12] -11800451543905547445220113923650598
[24,14] 163372133201159062397295672885982632
[24,16] -902339344767104970160934038120991454
[24,18] 394989276497207705475402044590358502
[24,20] 14918939074888651464849625873125636160
[24,22] -52369852284288616472431727248289362144
[24,24] 30851698931000051980638737321941177431
[25,1] -26295983202391
[25,3] 11350921732589136702884
[25,5] -322691668293377211154501196
[25,7] 317757490237419617701036824128
[25,9] -52329201807503809520021944375361
[25,11] 2897354373028464155738826463169004
[25,13] -65686993755310698639250216201017164
[25,15] 659477930829571139798356173514413858
[25,17] -2691388621831429478497112421794241490
[25,19] 958386245920837208345001256583280378
[25,21] 19490334294509876757487147438003006738
[25,23] -15609632830581293534322146308961661952
[25,25] -158060071001841004867304908042663151002
[26,2] -2666179377895733816
[26,4] 3270851652403173957716382
[26,6] -14089343083816315047739219792
[26,8] 4995744359644553627826617612260
[26,10] -482621595957064260021990771018299
[26,12] 18014182708483827025725312450329540
[26,14] -294928209578460978718338239944586364
[26,16] 2242274989924060239749770214417880518
[26,18] -7505484340500862759784158351179792158
[26,20] 9001954157987890274650502564791925660
[26,22] -17483843536453952488316930827090594391
[26,24] 155759369511517961214935095337658502210
[26,26] -501858347276696028556170895941772261189
[27,1] 65249684580464
[27,3] -11653376962398684744876
[27,5] 312672138922439087870454700
[27,7] -300840301284730151978796511056
[27,9] 53455752728986527091678814459832
[27,11] -3367366534732225506306672868168326
[27,13] 88880512266728610353786733253952354
[27,15] -1090505122732878681565834071262906690
[27,17] 6539222017301079934487175703968888856
[27,19] -19992179363325506877817314812764058608
[27,21] 44049274558766287391505758092745365584
[27,23] -148017974608419710100332272076710936799
[27,25] 463810774403089221712086545241242173832
[27,27] -815281075482850648821407047353380528836
[28,2] 4851093753515093096
[28,4] -2535776303047996864966307
[28,6] 11066147701009282007016231364
[28,8] -3734389118449044736087116241625
[28,10] 420882124998892951465924977170602
[28,12] -18291546192902610778647718349236218
[28,14] 354480521201233070221691962324171786
[28,16] -3358547167816199270201051070365371332
[28,18] 16499600331999809307131794279827155626
[28,20] -48831271436256510736766068850787253089
[28,22] 131158730320457540706307961651839732418
[28,24] -372846981954444639632301000143678058437
[28,26] 748617445656555033723550023479034380768
[28,28] -867660630456068776407111572862409893723
[29,1] -130811065945696
[29,3] 9935695047772802584082
[29,5] -186810308973488610179423194
[29,7] 179482305426025427614220679468
[29,9] -33260704931208458341675588609737
[29,11] 2543583084419938300111002009150742
[29,13] -79173989406007156038891411169014429
[29,15] 1158635068799067081365448943971314304
[29,17] -8665484517884793252473482863661448950
[29,19] 35952288915800712763896758589670039732
[29,21] -102889757185229876332900541581984189639
[29,23] 269031735105273079319230705720105207880
[29,25] -584930278569692543379547518308548447016
[29,27] 805311383562672117569958284556987617024
[29,29] -681510221507739227182858601017902182634
[30,2] -5461683639176163891
[30,4] 1538638739563763525870900
[30,6] -4552574601744919715390512797
[30,8] 1682556176796042839403185910026
[30,10] -224292742247223812248915846142021
[30,12] 12025905207227397192636481315505100
[30,14] -277116845526070418726505106087189122
[30,16] 3134440257161154281842523636850229202
[30,18] -18824792884167054140288016192716773243
[30,20] 67156850022607531216295197354908770072
[30,22] -179014048865133076205093209899025077095
[30,24] 403599593833102326192565039438938124656
[30,26] -649377675685262039834760949202894056496
[30,28] 650876214775411359436537394735565863806
[30,30] -552476904943560329583829868376182717647
[31,1] 212461407326024
[31,3] -6508859285014748911582
[31,5] 69172822427385997471836594
[31,7] -45524474569714062459788898153
[31,9] 12052721245587058066857023703324
[31,11] -1186439233467260882652674878175091
[31,13] 45448822277681817146707615823705536
[31,15] -793438527498072195240408252610534503
[31,17] 7067227942487557546563518575216184438
[31,19] -34617166819759215364809431507188875280
[31,21] 107083393396658063802916686653528451728
[31,23] -253671978127704278759285141982614188179
[31,25] 463657397847927671446492542609031329264
[31,27] -570805876033421827851876771674082481186
[31,29] 549009746625281057513230980724577286738
[31,31] -681510221507739227182858601017902182634
[32,2] 4400716477329825360
[32,4] -531732147239875008848124
[32,6] 970700883496450741387710124
[32,8] -224284454164565131223362542879
[32,10] 67750860999474320717016661651784
