[1,1] -1
[2,2] 136746
[3,1] 71
[3,3] -4239681788
[4,2] 276545568
[4,4] 18554048453952
[5,1] -2272
[5,3] 4958891880239
[5,5] -6282408474598516
[6,2] 47063897871
[6,4] -847620081908658
[6,6] 593433148212566754
[7,1] 43097
[7,3] -220324233252007
[7,5] -1182332133792493
[7,7] -6920881215401246089
[8,2] 2078261856818
[8,4] 107405446944214567
[8,6] -9878799515301487512
[8,8] 179162799501538495606
[9,1] -534772
[9,3] -673558708753723
[9,5] 1187452858665900734
[9,7] 163421534009991769406
[9,9] -2722511654452138069991
[10,2] 34430692154023
[10,4] -2152782187157756986
[10,6] 47934239774501234370
[10,8] -2234578584966949606024
[10,10] 32489705364452446819820
[11,1] 4494797
[11,3] 8819300123748635
[11,5] 12894987854456238494
[11,7] -1278681564972918960388
[11,9] 15314225729972574715013
[11,11] -110055471731998221783298
[12,2] 255510261705702
[12,4] 15405820132724023890
[12,6] -116235291494802280062
[12,8] 19813134955035583598634
[12,10] -125145533812737554637146
[12,12] -291780323128512117964540
[13,1] -25278485
[13,3] 85569384021287662
[13,5] -340724524989187374536
[13,7] 2212859641087602344388
[13,9] -91580556283796938270122
[13,11] 485879535959017681671501
[13,13] -2166661068649517307470400
[14,2] 882404562347855
[14,4] -41611993757878315274
[14,6] 2429540852705308700325
[14,8] -75901630856271706503674
[14,10] 209219565750582841035123
[14,12] -7151922026469291212164088
[14,14] 181267459673484352278166532
[15,1] 86392090
[15,3] -67987249508177767
[15,5] 2031478711411670141866
[15,7] 2370925608402178308222
[15,9] 812300146324027352920057
[15,11] -558659278202926763820333
[15,13] 88102459475371274270813631
[15,15] -1714074196423868531622698209
[16,2] 933522134870848
[16,4] 3427300015203426318
[16,6] -23221263798820264562648
[16,8] -109696236348477228950328
[16,10] -5970457404565492952277556
[16,12] 48727371930343866232160188
[16,14] -616874710683340286372944044
[16,16] 3544595371578861795965364190
[17,1] -100579097
[17,3] -1559965698663166655
[17,5] -3929377500578041979340
[17,7] 127774722953943095954554
[17,9] -1302969209833337274377553
[17,11] 25718458988982615085647652
[17,13] -285608960563803970595401411
[17,15] -230759026552951885309703754
[17,17] 34721996172157377673573183193
[18,2] -2601872733961914
[18,4] 240373388404661408932
[18,6] 81182575961300577424566
[18,8] 792901961400678877137448
[18,10] 37057928823999367490456392
[18,12] -258916097312349530809512124
[18,14] 495900719857867676437337032
[18,16] 20919369368982817326792775116
[18,18] -83339866314329837273603224578
[19,1] -529382177
[19,3] 1915946550620925883
[19,5] -2852436182984438180089
[19,7] -937078993410218289382285
[19,9] -7746004154348907838884054
[19,11] -369892092678071666131267183
[19,13] 1671964105187394145137717964
[19,15] 6829469869001692978688458425
[19,17] -54032829591117175505085097571
[19,19] -939290559441171805129822411732
[20,2] -8112331761775504
[20,4] -459283722591618353365
[20,6] -124061777456776998647564
[20,8] 6441407410295965188216697
[20,10] -17962670951292763581613112
[20,12] 2024468964557166386703769105
[20,14] -1583282480074315797799861700
[20,16] -127605622390496383170452690859
[20,18] -326471736003879478838188335300
[20,20] 7451236800497848912075261927010
[21,1] 2649350161
[21,3] 9065477878416509569
[21,5] 17299310729981321228449
[21,7] 1638767286679816725522468
[21,9] -17356570465156853312226227
[21,11] 334776714449357245605054210
[21,13] 260143669279464444623865084
[21,15] -52873258394816868412003295857
[21,17] 391243151300665479982330700112
[21,19] 2400488686443170150517068671983
[21,21] -12208093227565451261486270066330
[22,2] -2002322928925649
[22,4] -337773728600573833682
[22,6] -10456104570502429201864
[22,8] -28651866082743005341983784
[22,10] -35908152732038054654253359
[22,12] -284471481292360820180631932
[22,14] -1200029315900824826312628275
[22,16] 244959365141306094600020907640
[22,18] -2056535668550653929784940496389
[22,20] -1024442947974687120256993291960
[22,22] 4360373935389445793883826167938
[23,1] -3223912052
[23,3] -13529983178317568654
[23,5] -12138567775692569998308
[23,7] -1330605509968051011090551
[23,9] 274969253252095186417174083
[23,11] -1540076253833509967708764637
[23,13] 4249831314391334441239534496
[23,15] 1244665368909011704434917493
[23,17] -1088090461221313539133474938208
[23,19] 7396512068948108928211216382485
[23,21] -13440036029833744711430151086718
[23,23] 3355515821042061697622408144671
[24,2] 17141251134966654
[24,4] 1435630366972983130889
[24,6] 359729539513093269508948
[24,8] 20145331052947874217614672
[24,10] -1061106573616078240744176494
[24,12] -5598637857236568217442036765
[24,14] 2711684813723000994848598718
[24,16] 987051094285518166750370021512
[24,18] 2383761632497943014054031607718
[24,20] -28684890157599534605259887568206
[24,22] -2441278965697063200843967448106
[24,24] 112897263799937017492775119019456
[25,1] -9093026019
[25,3] -16146170678514080835
[25,5] -10535105482520318808509
[25,7] 4332682132947386656414355
[25,9] -280364252975986217755188321
[25,11] -2678809237098963745661739400
[25,13] 72233811839371987541488144579
[25,15] 343566970046676031914934469436
[25,17] -5023021555455728971053780175721
[25,19] -5745140554295973797050887782185
[25,21] 34459546336214493285455584439283
[25,23] 86046175727640865754258290165271
[25,25] -138045074908903158560883433683808
[26,2] 19498889915200741
[26,4] -354901500273153547958
[26,6] -270366268277231739966658
[26,8] -302221142623472122643228
[26,10] 4376214584944020386524302662
[26,12] -1020127569613779000510571202
[26,14] -292474892030027803317346719245
[26,16] -1464532279469532761638077637916
[26,18] 12394102329129950592384099308152
[26,20] 1261309823490992541389560349024
[26,22] -1955898297006366636093574866061
[26,24] 45619418410179827491711105328814
[26,26] -217747285396444214638404335235690
[27,1] 32526439557
[27,3] 32940492916659658419
[27,5] 21638116308198637945029
[27,7] -2418810484692641598743748
[27,9] 394028698712675860488386546
[27,11] -12328522354390449724307798568
[27,13] -67539466172527336770498329850
[27,15] 879403609195696784375634043666
[27,17] 3248157680349177085676167243881
[27,19] -3437275028808523770217475789346
[27,21] 24668353072813457352302492499691
[27,23] -104042519025754978530416801840001
[27,25] -395733414073117572885083282709038
[27,27] 166496311103532645349484498429484
[28,2] -19073692256902378
[28,4] -1362558701661604853183
[28,6] 309984443051073341241576
[28,8] 50111124321874485744678199
[28,10] -1280461002532349109057833524
[28,12] -12013293495820347097519036989
[28,14] 620360737733977722134065273290
[28,16] -3297909265876472182635407810905
[28,18] -7810883308546980783917532590320
[28,20] 26954865437841964466485362407401
[28,22] 18115959091178148665899057028012
[28,24] -50281791880090299871350988893488
[28,26] -63892227370334167830926760966344
[28,28] 868018252268627887771576653032392
[29,1] -9319228185
[29,3] 2974758320306585631
[29,5] -38476647074542467368074
[29,7] -19363702687491363304199528
[29,9] 29040030426537586058991027
[29,11] 33014312874842647372307157995
[29,13] -268421364942441375965984126597
[29,15] -1174077821567051958136982838777
[29,17] 7411960957720104129263160970472
[29,19] 14889804791028559508158250992462
[29,21] -63262709217307380331528009552551
