[38,0] 1
[37,0] 111
[37,1] -1073
[37,2] 3885
[37,3] -12432
[37,4] 25974
[37,5] -36038
[37,6] 11100
[37,7] 114700
[37,8] -443112
[37,9] 1041217
[37,10] -1816145
[37,11] 2469713
[37,12] -2347798
[37,13] 621489
[37,14] 3113920
[37,15] -8357042
[37,16] 13407801
[37,17] -15534080
[37,18] 12157460
[37,19] -2890329
[37,20] -9546666
[37,21] 20393438
[37,22] -24842947
[37,23] 20795221
[37,24] -10595838
[37,25] -665001
[37,26] 8463898
[37,27] -10898461
[37,28] 9004727
[37,29] -5461126
[37,30] 2509710
[37,31] -878750
[37,32] 232841
[37,33] -45880
[37,34] 6512
[37,35] -629
[37,36] 37
[37,37] -1
[36,0] 3589
[36,1] -62900
[36,2] 490546
[36,3] -2462683
[36,4] 10249888
[36,5] -35356534
[36,6] 106491254
[36,7] -284328165
[36,8] 682896013
[36,9] -1491433814
[36,10] 2979702093
[36,11] -5478545230
[36,12] 9307453082
[36,13] -14646176348
[36,14] 21402739207
[36,15] -29093020635
[36,16] 36808794175
[36,17] -43374981304
[36,18] 47611260895
[36,19] -48615829210
[36,20] 46067019608
[36,21] -40371093236
[36,22] 32522345618
[36,23] -23835080986
[36,24] 15661037027
[36,25] -9051592347
[36,26] 4481558844
[36,27] -1821313345
[36,28] 555002516
[36,29] -89734953
[36,30] -21206328
[36,31] 21874733
[36,32] -8082909
[36,33] 1506122
[36,34] -55907
[36,35] -28786
[36,36] 3663
[35,0] -69153
[35,1] 796980
[35,2] -4545931
[35,3] 20089150
[35,4] -84845514
[35,5] 299425534
[35,6] -973689928
[35,7] 2834591386
[35,8] -7482761637
[35,9] 18057092536
[35,10] -39803197219
[35,11] 80605726254
[35,12] -150408049096
[35,13] 258809597112
[35,14] -411715258836
[35,15] 606337468032
[35,16] -826556000468
[35,17] 1043384734614
[35,18] -1219633189031
[35,19] 1317996806951
[35,20] -1313753796542
[35,21] 1204839480437
[35,22] -1012092715808
[35,23] 772803408681
[35,24] -530898131661
[35,25] 324122731599
[35,26] -173225564407
[35,27] 79407818879
[35,28] -30231631403
[35,29] 8963814583
[35,30] -1731599778
[35,31] 34864323
[35,32] 106328491
[35,33] -35309026
[35,34] 4729044
[35,35] -74259
[34,0] 1252339
[34,1] -8219106
[34,2] 28615541
[34,3] -85563795
[34,4] 272581775
[34,5] -668849999
[34,6] 2123790972
[34,7] -6504182344
[34,8] 19936571694
[34,9] -58606473010
[34,10] 155331761825
[34,11] -374687121816
[34,12] 820695375885
[34,13] -1627370498243
[34,14] 2941506194244
[34,15] -4862441809215
[34,16] 7351925505913
[34,17] -10189892339457
[34,18] 12965885944524
[34,19] -15126520295598
[34,20] 16152647769969
[34,21] -15763688292721
[34,22] 14009253630648
[34,23] -11262181925286
[34,24] 8119729301323
[34,25] -5197806912707
[34,26] 2917738713664
[34,27] -1412612109087
[34,28] 576238350575
[34,29] -190830339417
[34,30] 47789608961
[34,31] -7528600974
[34,32] 134030761
[34,33] 257316019
[34,34] -58497037
