[20,0] 1
[19,1] -76
[19,2] 133
[19,3] -304
[19,4] 361
[19,5] -190
[19,6] -323
[19,7] 1159
[19,8] -2280
[19,9] 3097
[19,10] -2451
[19,11] 779
[19,12] 1026
[19,13] -2489
[19,14] 2717
[19,15] -1729
[19,16] 665
[19,17] -152
[19,18] 19
[19,19] -1
[18,0] -38
[18,1] 475
[18,2] 646
[18,3] -2584
[18,4] 11799
[18,5] -30191
[18,6] 61636
[18,7] -103018
[18,8] 146319
[18,9] -179550
[18,10] 175560
[18,11] -133950
[18,12] 78584
[18,13] -28842
[18,14] 1900
[18,15] 2470
[18,16] -399
[18,17] -95
[18,18] -38
[17,0] 57
[17,1] 1083
[17,2] -20425
[17,3] 56335
[17,4] -169157
[17,5] 361000
[17,6] -664791
[17,7] 1044221
[17,8] -1404974
[17,9] 1676921
[17,10] -1635368
[17,11] 1238401
[17,12] -728270
[17,13] 308427
[17,14] -83809
[17,15] 24510
[17,16] -14725
[17,17] 4845
[16,0] 1615
[16,1] -22686
[16,2] 136382
[16,3] -322924
[16,4] 867407
[16,5] -1669321
[16,6] 2857961
[16,7] -4291701
[16,8] 5521476
[16,9] -6475637
[16,10] 6215983
[16,11] -4389228
[16,12] 2206717
[16,13] -682081
[16,14] 57190
[16,15] -4427
[16,16] 36271
[15,0] -14953
[15,1] 121961
[15,2] -477489
[15,3] 911620
[15,4] -2239967
[15,5] 3672472
[15,6] -5521001
[15,7] 7757662
[15,8] -9288929
[15,9] 10907862
[15,10] -10406946
[15,11] 6033811
[15,12] -1099967
[15,13] -1333971
[15,14] 1294508
[15,15] -429495
[14,0] 73625
[14,1] -385795
[14,2] 1033049
[14,3] -1341875
[14,4] 2983475
[14,5] -3005933
[14,6] 2126366
[14,7] -1965303
[14,8] 785156
[14,9] -2188496
[14,10] 3264865
[14,11] 2000928
[14,12] -8534249
[14,13] 9258719
[14,14] -5148031
[13,0] -250287
[13,1] 797335
[13,2] -1383276
[13,3] 582255
[13,4] -1354510
[13,5] -2889995
[13,6] 10196654
[13,7] -14089811
[13,8] 18291642
[13,9] -16240193
[13,10] 9307530
[13,11] -12112747
[13,12] 20582263
[13,13] -19406144
[12,0] 633669
[12,1] -1038882
[12,2] 792433
[12,3] 1711273
[12,4] -1821815
[12,5] 9132711
[12,6] -19195035
[12,7] 18523309
[12,8] -17766349
[12,9] 11620609
[12,10] 3502498
[12,11] -1895193
[12,12] -16008431
[11,0] -1213283
[11,1] 548036
[11,2] 1145491
[11,3] -4523558
[11,4] 4568512
[11,5] -10975844
[11,6] 16721159
[11,7] -3846208
[11,8] -6032082
[11,9] 14532188
[11,10] -34816512
[11,11] 32234944
[10,0] 1779179
[10,1] 985682
[10,2] -4003946
[10,3] 6554829
[10,4] -7476348
[10,5] 13081025
[10,6] -14498653
[10,7] -4051674
[10,8] 12878656
[10,9] -14820361
[10,10] 35035088
[9,0] -2166114
[9,1] -2781201
[9,2] 6250107
[9,3] -6256985
[9,4] 9737405
[9,5] -15956029
[9,6] 12498390
[9,7] 6525816
[9,8] -7963679
[9,9] 211318
[8,0] 2550142
[8,1] 2980758
[8,2] -5282513
[8,3] 725515
[8,4] -5305180
[8,5] 9780573
[8,6] 3748168
[8,7] -25458746
[8,8] 21948230
[7,0] -2931491
[7,1] -1300075
[7,2] 1435944
[7,3] 7841262
[7,4] -3891979
[7,5] 1169127
[7,6] -20530070
[7,7] 37638335
[6,0] 2749452
[6,1] 164274
[6,2] 21261
[6,3] -8876610
[6,4] 2481267
[6,5] 3190518
[6,6] 12676154
[5,0] -1929488
[5,1] -242269
[5,2] 1120487
[5,3] 3549542
[5,4] 5808566
[5,5] -14146887
[4,0] 1190863
[4,1] -225796
[4,2] 241034
[4,3] -3983540
[4,4] -1513331
[3,0] -745883
[3,1] 723121
[3,2] -1727214
[3,3] 5158063
[2,0] 342969
[2,1] -306641
[2,2] 698801
[1,0] -84227
[1,1] 50748
[0,0] 18259
