[1,1] -1
[2,2] 7298
[3,1] 41
[3,3] -9364441
[4,2] 1739794
[4,4] 147165974
[5,1] -697
[5,3] 428400185
[5,5] 31337663742
[6,2] 43918872
[6,4] 20400944574
[6,6] -1115031851702
[7,1] 6232
[7,3] 1951511071
[7,5] -811286339946
[7,7] 15171212177833
[8,2] 275124883
[8,4] -241189734286
[8,6] 11057323135011
[8,8] -117911610662262
[9,1] -29807
[9,3] -14500102066
[9,5] 3992456880895
[9,7] -82332424671948
[9,9] 686480814821563
[10,2] 501367844
[10,4] 272746817933
[10,6] -25381874602250
[10,8] 450327065570740
[10,10] -3512377264181816
[11,1] 58261
[11,3] -66543684167
[11,5] 2507415160981
[11,7] 69629177710362
[11,9] -2288369169116124
[11,11] 15243218057172336
[12,2] -293027697
[12,4] 2016846373360
[12,6] -68181986446380
[12,8] -186846595486250
[12,10] 10322892220410154
[12,12] -60691629630988792
[13,1] 88601
[13,3] 51543996404
[13,5] -29101988095126
[13,7] 432583254923659
[13,9] 1641319339442800
[13,11] -42992602637654312
[13,13] 253928113726332812
[14,2] -2014220530
[14,4] -365157024736
[14,6] 168481354227256
[14,8] -1095121995160449
[14,10] -12518124467175172
[14,12] 187403452310762518
[14,14] -967125003728463516
[15,1] -599092
[15,3] 130128271685
[15,5] -12454048039045
[15,7] -327741144923468
[15,9] 667403932037809
[15,11] 71695520437921036
[15,13] -727085456029138513
[15,15] 3104034360262377142
[16,2] -240652001
[16,4] -3671497779694
[16,6] 225185294164515
[16,8] 403671262380670
[16,10] 4069226657592344
[16,12] -288612510987721572
[16,14] 2358940954045556407
[16,16] -8104289593335591532
[17,1] 528695
[17,3] -83964759565
[17,5] 39592525584889
[17,7] -978649288732699
[17,9] -6242994118845740
[17,11] -8747430057303437
[17,13] 934176061216318292
[17,15] -6230086776453947203
[17,17] 17664983148946211409
[18,2] 1481445210
[18,4] 835617754932
[18,6] -128999680204074
[18,8] -667178166800076
[18,10] 44105673816147660
[18,12] 8196781065952598
[18,14] -2554888160316257004
[18,16] 13688443786576871121
[18,18] -31883412194579169010
[19,1] 1548201
[19,3] -5305844604
[19,5] 14168577681646
[19,7] -631550640274558
[19,9] 16422876606585726
[19,11] -169763081926931067
[19,13] -122171876315255372
[19,15] 5822787116893196800
[19,17] -24968314971941955480
[19,19] 48739064201538285915
[20,2] 2205029036
[20,4] 1729850948632
[20,6] -199616480057058
[20,8] 4397649692095536
[20,10] -63675575851297482
[20,12] 387775775066149356
[20,14] 565154935983616602
[20,16] -11177032727811100920
[20,18] 38346311484776799957
[20,20] -62402473653923108770
[21,1] -2563566
[21,3] 22958608009
[21,5] -19725885732897
[21,7] 609995110207455
[21,9] -6933617723714306
[21,11] 131987231942481720
[21,13] -609092783822973572
[21,15] -1752432820689989189
[21,17] 17648572615423211653
[21,19] -49399167381181512781
[21,21] 68132855816776815212
[22,2] -1322294690
[22,4] -1172653200452
[22,6] -5158695791206
[22,8] 1957512064639361
[22,10] -12056706745429282
[22,12] -138656161322084944
[22,14] 612117294255455354
[22,16] 3437564445069146909
[22,18] -23448428980361477722
[22,20] 53863055015801363556
[22,22] -62402473653923108770
[23,1] -1424463
[23,3] -60162142776
[23,5] -5063992112504
[23,7] 766539531209009
[23,9] -16230758973564909
[23,11] 102974820603147183
[23,13] 2387507803067185
[23,15] -293001509858456486
[23,17] -5265640816056172059
[23,19] 25564858607927989860
[23,21] -49399167381181512781
[23,23] 48739064201538285915
[24,2] -1326031389
[24,4] 5028070178
[24,6] 115343712763843
[24,8] -3962731173384814
[24,10] 54293488504578212
[24,12] -297726746592303540
[24,14] 364619209261478597
[24,16] -145254049764757204
[24,18] 5872420425766514551
[24,20] -23448428980361477722
[24,22] 38346311484776799957
[24,24] -31883412194579169010
[25,1] 3769458
[25,3] 1308539436
[25,5] 9982069537388
[25,7] -457393844039518
[25,9] 10098817992541630
[25,11] -126824236573711286
[25,13] 592557017917434068
[25,15] -709226765578694095
[25,17] 377402335937882298
[25,19] -5265640816056172059
[25,21] 17648572615423211653
[25,23] -24968314971941955480
[25,25] 17664983148946211409
[26,2] 514653812
[26,4] 555435426894
[26,6] -30967494409372
[26,8] 811311853653509
[26,10] -20466486027842212
[26,12] 215969018553399554
[26,14] -858336056267085768
[26,16] 921352129786416391
[26,18] -145254049764757204
[26,20] 3437564445069146909
[26,22] -11177032727811100920
[26,24] 13688443786576871121
[26,26] -8104289593335591532
[27,1] 251043
[27,3] 17968436099
[27,5] -1694891515245
[27,7] -7280432493512
[27,9] -885693247413683
[27,11] 30985928485040347
[27,13] -298838513387617357
[27,15] 978155779949638027
[27,17] -709226765578694095
[27,19] -293001509858456486
[27,21] -1752432820689989189
[27,23] 5822787116893196800
[27,25] -6230086776453947203
[27,27] 3104034360262377142
[28,2] 220444864
[28,4] -25123678650
[28,6] -7981176806786
[28,8] 108445862745616
[28,10] 971296726110024
[28,12] -38800084515159672
[28,14] 326583709693541087
[28,16] -858336056267085768
[28,18] 364619209261478597
[28,20] 612117294255455354
[28,22] 565154935983616602
[28,24] -2554888160316257004
[28,26] 2358940954045556407
[28,28] -967125003728463516
[29,1] -2245980
[29,3] 4679484816
[29,5] -275905127391
[29,7] 14981732896261
[29,9] -260842333120490
[29,11] 132495636517183
[29,13] 42403651359243704
[29,15] -298838513387617357
[29,17] 592557017917434068
[29,19] 2387507803067185
[29,21] -609092783822973572
[29,23] -122171876315255372
[29,25] 934176061216318292
[29,27] -727085456029138513
[29,29] 253928113726332812
[30,2] -52343142
[30,4] 62945211952
[30,6] 2488132816578
[30,8] -33618681932615
[30,10] 360654278107500
[30,12] 692701230522360
[30,14] -38800084515159672
[30,16] 215969018553399554
[30,18] -297726746592303540
[30,20] -138656161322084944
[30,22] 387775775066149356
[30,24] 8196781065952598
[30,26] -288612510987721572
[30,28] 187403452310762518
[30,30] -60691629630988792
[31,1] 162237
[31,3] 50732457
[31,5] 360298845192
[31,7] 1284088518273
[31,9] -5802491701071
[31,11] -335418309096036
[31,13] 132495636517183
[31,15] 30985928485040347
[31,17] -126824236573711286
[31,19] 102974820603147183
[31,21] 131987231942481720
[31,23] -169763081926931067
[31,25] -8747430057303437
[31,27] 71695520437921036
[31,29] -42992602637654312
[31,31] 15243218057172336
[32,2] 1216552
[32,4] -5335734096
[32,6] 408208174663
[32,8] -1667824615314
[32,10] -13500147749981
[32,12] 360654278107500
[32,14] 971296726110024
[32,16] -20466486027842212
[32,18] 54293488504578212
[32,20] -12056706745429282
[32,22] -63675575851297482
[32,24] 44105673816147660
[32,26] 4069226657592344
[32,28] -12518124467175172
[32,30] 10322892220410154
[32,32] -3512377264181816
[33,1] 529392
[33,3] -518343238
[33,5] -55224313434
[33,7] 286073864448
[33,9] 8931446051395
[33,11] -5802491701071
[33,13] -260842333120490
[33,15] -885693247413683
[33,17] 10098817992541630
[33,19] -16230758973564909
[33,21] -6933617723714306
[33,23] 16422876606585726
[33,25] -6242994118845740
[33,27] 667403932037809
[33,29] 1641319339442800
[33,31] -2288369169116124
[33,33] 686480814821563
[34,2] 2660900
[34,4] -1852556259
[34,6] -81694170586
[34,8] 1477321144107
[34,10] -1667824615314
[34,12] -33618681932615
[34,14] 108445862745616
[34,16] 811311853653509
[34,18] -3962731173384814
[34,20] 1957512064639361
[34,22] 4397649692095536
[34,24] -667178166800076
[34,26] 403671262380670
[34,28] -1095121995160449
[34,30] -186846595486250
[34,32] 450327065570740
[34,34] -117911610662262
[35,1] -44403
[35,3] 98255598
[35,5] 409400129
[35,7] -57419316248
[35,9] 286073864448
[35,11] 1284088518273
[35,13] 14981732896261
[35,15] -7280432493512
[35,17] -457393844039518
[35,19] 766539531209009
[35,21] 609995110207455
[35,23] -631550640274558
[35,25] -978649288732699
[35,27] -327741144923468
[35,29] 432583254923659
[35,31] 69629177710362
[35,33] -82332424671948
[35,35] 15171212177833
[36,2] 1676613
[36,4] 275927786
[36,6] 92168574
[36,8] -81694170586
[36,10] 408208174663
[36,12] 2488132816578
[36,14] -7981176806786
[36,16] -30967494409372
[36,18] 115343712763843
[36,20] -5158695791206
[36,22] -199616480057058
[36,24] -128999680204074
[36,26] 225185294164515
[36,28] 168481354227256
[36,30] -68181986446380
[36,32] -25381874602250
[36,34] 11057323135011
[36,36] -1115031851702
[37,1] -35670
[37,3] -5580879
[37,5] 288976651
[37,7] 409400129
[37,9] -55224313434
[37,11] 360298845192
[37,13] -275905127391
[37,15] -1694891515245
[37,17] 9982069537388
[37,19] -5063992112504
[37,21] -19725885732897
[37,23] 14168577681646
[37,25] 39592525584889
[37,27] -12454048039045
[37,29] -29101988095126
[37,31] 2507415160981
[37,33] 3992456880895
[37,35] -811286339946
[37,37] 31337663742
[38,2] -314470
[38,4] -6645075
[38,6] 275927786
[38,8] -1852556259
[38,10] -5335734096
[38,12] 62945211952
[38,14] -25123678650
[38,16] 555435426894
[38,18] 5028070178
[38,20] -1172653200452
[38,22] 1729850948632
[38,24] 835617754932
[38,26] -3671497779694
[38,28] -365157024736
[38,30] 2016846373360
[38,32] 272746817933
[38,34] -241189734286
[38,36] 20400944574
[38,38] 147165974
[39,1] 2337
[39,3] -186796
[39,5] -5580879
[39,7] 98255598
[39,9] -518343238
[39,11] 50732457
[39,13] 4679484816
[39,15] 17968436099
[39,17] 1308539436
[39,19] -60162142776
[39,21] 22958608009
[39,23] -5305844604
[39,25] -83964759565
[39,27] 130128271685
[39,29] 51543996404
[39,31] -66543684167
[39,33] -14500102066
[39,35] 1951511071
[39,37] 428400185
[39,39] -9364441
[40,2] 14473
[40,4] -314470
[40,6] 1676613
[40,8] 2660900
[40,10] 1216552
[40,12] -52343142
[40,14] 220444864
[40,16] 514653812
[40,18] -1326031389
[40,20] -1322294690
[40,22] 2205029036
[40,24] 1481445210
[40,26] -240652001
[40,28] -2014220530
[40,30] -293027697
[40,32] 501367844
[40,34] 275124883
[40,36] 43918872
[40,38] 1739794
[40,40] 7298
[41,1] 123
[41,3] 2337
[41,5] -35670
[41,7] -44403
[41,9] 529392
[41,11] 162237
[41,13] -2245980
[41,15] 251043
[41,17] 3769458
[41,19] -1424463
[41,21] -2563566
[41,23] 1548201
[41,25] 528695
[41,27] -599092
[41,29] 88601
[41,31] 58261
[41,33] -29807
[41,35] 6232
[41,37] -697
[41,39] 41
[41,41] -1
[42,0] 1
