[1,1] -1
[4,4] 3268
[6,2] 602
[7,7] -322586
[9,5] 274770
[10,10] -19946496
[11,3] -66779
[12,8] 14898812
[13,1] 43
[13,13] -287871455
[14,6] -5107540
[15,11] 223110703
[16,4] 566052
[16,16] -1110305064
[17,9] -99000921
[18,2] 25628
[18,14] 816534353
[19,7] 25221650
[19,19] -2253865984
[20,12] -297034024
[21,5] -3977543
[21,17] 1581353466
[22,10] 32088879
[22,22] -3066603136
[23,3] 378873
[23,15] -486436640
[24,8] 9918552
[24,20] 2007805407
[25,1] -387
[25,13] 7964503
[25,25] -2253865984
[26,6] -3202468
[26,18] -452199266
[27,11] 26044541
[27,23] 1581353466
[28,4] 260322
[28,16] -61789409
[28,28] -1110305064
[29,9] -1809311
[29,21] -486436640
[30,2] 13287
[30,14] 27208508
[30,26] 816534353
[31,7] -1037547
[31,19] 7964503
[31,31] -287871455
[32,12] 3358687
[32,24] -297034024
[33,5] 82689
[33,17] 26044541
[33,29] 223110703
[34,10] -752758
[34,22] 32088879
[34,34] -19946496
[35,3] 9288
[35,15] -1809311
[35,27] -99000921
[36,8] -183911
[36,20] 9918552
[36,32] 14898812
[37,1] 215
[37,13] -1037547
[37,25] 25221650
[37,37] -322586
[38,6] 12212
[38,18] -3202468
[38,30] -5107540
[39,11] 82689
[39,23] -3977543
[39,35] 274770
[40,4] 2193
[40,16] 260322
[40,28] 566052
[40,40] 3268
[41,9] 9288
[41,21] 378873
[41,33] -66779
[42,2] 86
[42,14] 13287
[42,26] 25628
[42,38] 602
[43,7] 215
[43,19] -387
[43,31] 43
[43,43] -1
[44,0] 1
