[18,0] 1
[17,1] -714
[17,2] 6460
[17,3] -30991
[17,4] 94350
[17,5] -208777
[17,6] 355776
[17,7] -477649
[17,8] 515270
[17,9] -447151
[17,10] 309468
[17,11] -168776
[17,12] 69632
[17,13] -20434
[17,14] 4012
[17,15] -493
[17,16] 34
[17,17] -1
[16,1] 6460
[16,2] -37043
[16,3] 102034
[16,4] -189448
[16,5] 352750
[16,6] -547757
[16,7] 850850
[16,8] -1344938
[16,9] 1949254
[16,10] -2599079
[16,11] 2711568
[16,12] -2200786
[16,13] 1294516
[16,14] -506277
[16,15] 150518
[16,16] 14688
[15,1] -30991
[15,2] 102034
[15,3] -277134
[15,4] 1231446
[15,5] -4080374
[15,6] 9258098
[15,7] -16919896
[15,8] 22142330
[15,9] -25222186
[15,10] 25590542
[15,11] -22656359
[15,12] 18346604
[15,13] -10337802
[15,14] 5528536
[15,15] -2786351
[14,1] 94350
[14,2] -189448
[14,3] 1231446
[14,4] -3399201
[14,5] 2470474
[14,6] -3682132
[14,7] 7450590
[14,8] 6636188
[14,9] -28014810
[14,10] 82242124
[14,11] -96699094
[14,12] 91261100
[14,13] -68896784
[14,14] 17548590
[13,1] -208777
[13,2] 352750
[13,3] -4080374
[13,4] 2470474
[13,5] 2437732
[13,6] 33050346
[13,7] -74564754
[13,8] 225722430
[13,9] -332301074
[13,10] 239153654
[13,11] -176403271
[13,12] -83166448
[13,13] 173638952
[12,1] 355776
[12,2] -547757
[12,3] 9258098
[12,4] -3682132
[12,5] 33050346
[12,6] 9748565
[12,7] -164297350
[12,8] 20957056
[12,9] -70696370
[12,10] -238074681
[12,11] 608112032
[12,12] -175555430
[11,1] -477649
[11,2] 850850
[11,3] -16919896
[11,4] 7450590
[11,5] -74564754
[11,6] -164297350
[11,7] 495571658
[11,8] -102301274
[11,9] 246875156
[11,10] 858766050
[11,11] -1401119209
[10,1] 515270
[10,2] -1344938
[10,3] 22142330
[10,4] 6636188
[10,5] 225722430
[10,6] 20957056
[10,7] -102301274
[10,8] 247227226
[10,9] -1451517494
[10,10] 55250680
[9,1] -447151
[9,2] 1949254
[9,3] -25222186
[9,4] -28014810
[9,5] -332301074
[9,6] -70696370
[9,7] 246875156
[9,8] -1451517494
[9,9] 3023527826
[8,1] 309468
[8,2] -2599079
[8,3] 25590542
[8,4] 82242124
[8,5] 239153654
[8,6] -238074681
[8,7] 858766050
[8,8] 55250680
[7,1] -168776
[7,2] 2711568
[7,3] -22656359
[7,4] -96699094
[7,5] -176403271
[7,6] 608112032
[7,7] -1401119209
[6,1] 69632
[6,2] -2200786
[6,3] 18346604
[6,4] 91261100
[6,5] -83166448
[6,6] -175555430
[5,1] -20434
[5,2] 1294516
[5,3] -10337802
[5,4] -68896784
[5,5] 173638952
[4,1] 4012
[4,2] -506277
[4,3] 5528536
[4,4] 17548590
[3,1] -493
[3,2] 150518
[3,3] -2786351
[2,1] 34
[2,2] 14688
[1,1] -1
